DATE,DATE,CLOSE
2017-06-27,2017-06-27,64.23
2017-06-28,2017-06-28,65.18
2017-06-29,2017-06-29,66.98
2017-06-30,2017-06-30,66.88
2017-07-03,2017-07-03,68.26
2017-07-05,2017-07-05,68.45
2017-07-06,2017-07-06,67.63
2017-07-07,2017-07-07,67.91
2017-07-10,2017-07-10,67.65
2017-07-11,2017-07-11,66.82
2017-07-12,2017-07-12,66.92
2017-07-13,2017-07-13,67.02
2017-07-14,2017-07-14,66.72
2017-07-17,2017-07-17,66.83
2017-07-18,2017-07-18,66.89
2017-07-19,2017-07-19,66.7
2017-07-20,2017-07-20,66.36
2017-07-21,2017-07-21,66.0
2017-07-24,2017-07-24,66.1
2017-07-25,2017-07-25,68.03
2017-07-26,2017-07-26,67.98
2017-07-27,2017-07-27,67.6
2017-07-28,2017-07-28,67.43
2017-07-31,2017-07-31,68.45
2017-08-01,2017-08-01,69.6
2017-08-02,2017-08-02,69.42
2017-08-03,2017-08-03,68.13
2017-08-04,2017-08-04,68.98
2017-08-07,2017-08-07,69.04
2017-08-08,2017-08-08,68.88
2017-08-09,2017-08-09,68.43
2017-08-10,2017-08-10,67.22
2017-08-11,2017-08-11,66.8
2017-08-14,2017-08-14,67.89
2017-08-15,2017-08-15,67.97
2017-08-16,2017-08-16,67.71
2017-08-17,2017-08-17,66.6
2017-08-18,2017-08-18,66.58
2017-08-21,2017-08-21,65.95
2017-08-22,2017-08-22,66.85
2017-08-23,2017-08-23,67.23
2017-08-24,2017-08-24,67.69
2017-08-25,2017-08-25,67.85
2017-08-28,2017-08-28,67.81
2017-08-29,2017-08-29,67.48
2017-08-30,2017-08-30,68.01
2017-08-31,2017-08-31,68.03
2017-09-01,2017-09-01,68.58
2017-09-05,2017-09-05,67.16
2017-09-06,2017-09-06,67.32
2017-09-07,2017-09-07,66.06
2017-09-08,2017-09-08,66.17
2017-09-11,2017-09-11,67.71
2017-09-12,2017-09-12,68.79
2017-09-13,2017-09-13,69.39
2017-09-14,2017-09-14,69.24
2017-09-15,2017-09-15,69.04
2017-09-18,2017-09-18,70.6
2017-09-19,2017-09-19,71.15
2017-09-20,2017-09-20,71.46
2017-09-21,2017-09-21,71.76
2017-09-22,2017-09-22,71.4
2017-09-25,2017-09-25,70.84
2017-09-26,2017-09-26,70.94
2017-09-27,2017-09-27,72.28
2017-09-28,2017-09-28,72.65
2017-09-29,2017-09-29,72.74
2017-10-02,2017-10-02,73.8
2017-10-03,2017-10-03,74.13
2017-10-04,2017-10-04,74.06
2017-10-05,2017-10-05,75.72
2017-10-06,2017-10-06,75.64
2017-10-09,2017-10-09,75.39
2017-10-10,2017-10-10,75.18
2017-10-11,2017-10-11,74.94
2017-10-12,2017-10-12,72.37
2017-10-13,2017-10-13,72.11
2017-10-16,2017-10-16,71.77
2017-10-17,2017-10-17,72.19
2017-10-18,2017-10-18,73.12
2017-10-19,2017-10-19,72.88
2017-10-20,2017-10-20,73.53
2017-10-23,2017-10-23,73.53
2017-10-24,2017-10-24,74.24
2017-10-25,2017-10-25,73.62
2017-10-26,2017-10-26,73.79
2017-10-27,2017-10-27,73.87
2017-10-30,2017-10-30,73.78
2017-10-31,2017-10-31,73.5
2017-11-01,2017-11-01,74.03
2017-11-02,2017-11-02,74.74
2017-11-03,2017-11-03,74.05
2017-11-06,2017-11-06,73.8
2017-11-07,2017-11-07,72.71
2017-11-08,2017-11-08,72.34
2017-11-09,2017-11-09,72.43
2017-11-10,2017-11-10,72.25
2017-11-13,2017-11-13,71.99
2017-11-14,2017-11-14,71.53
2017-11-15,2017-11-15,71.73
2017-11-16,2017-11-16,71.67
2017-11-17,2017-11-17,71.33
2017-11-20,2017-11-20,72.05
2017-11-21,2017-11-21,72.38
2017-11-22,2017-11-22,72.26
2017-11-24,2017-11-24,72.02
2017-11-27,2017-11-27,71.39
2017-11-28,2017-11-28,73.7
2017-11-29,2017-11-29,75.04
2017-11-30,2017-11-30,75.5
2017-12-01,2017-12-01,75.51
2017-12-04,2017-12-04,77.1
2017-12-05,2017-12-05,76.54
2017-12-06,2017-12-06,75.44
2017-12-07,2017-12-07,74.98
2017-12-08,2017-12-08,75.71
2017-12-11,2017-12-11,75.85
2017-12-12,2017-12-12,76.15
2017-12-13,2017-12-13,75.14
2017-12-14,2017-12-14,73.92
2017-12-15,2017-12-15,74.77
2017-12-18,2017-12-18,75.67
2017-12-19,2017-12-19,74.7
2017-12-20,2017-12-20,74.66
2017-12-21,2017-12-21,75.82
2017-12-22,2017-12-22,75.49
2017-12-26,2017-12-26,74.78
2017-12-27,2017-12-27,74.89
2017-12-28,2017-12-28,75.08
2017-12-29,2017-12-29,74.41
2018-01-02,2018-01-02,74.36
2018-01-03,2018-01-03,74.59
2018-01-04,2018-01-04,75.51
2018-01-05,2018-01-05,75.41
2018-01-08,2018-01-08,74.53
2018-01-09,2018-01-09,75.31
2018-01-10,2018-01-10,75.65
2018-01-11,2018-01-11,75.56
2018-01-12,2018-01-12,76.84
2018-01-16,2018-01-16,77.11
2018-01-17,2018-01-17,77.47
2018-01-18,2018-01-18,77.39
2018-01-19,2018-01-19,78.3
2018-01-22,2018-01-22,78.59
2018-01-23,2018-01-23,78.55
2018-01-24,2018-01-24,79.45
2018-01-25,2018-01-25,79.44
2018-01-26,2018-01-26,80.08
2018-01-29,2018-01-29,79.96
2018-01-30,2018-01-30,78.62
2018-01-31,2018-01-31,78.48
2018-02-01,2018-02-01,79.2
2018-02-02,2018-02-02,77.02
2018-02-05,2018-02-05,73.27
2018-02-06,2018-02-06,74.82
2018-02-07,2018-02-07,74.99
2018-02-08,2018-02-08,71.87
2018-02-09,2018-02-09,73.68
2018-02-12,2018-02-12,74.76
2018-02-13,2018-02-13,75.18
2018-02-14,2018-02-14,76.71
2018-02-15,2018-02-15,77.08
2018-02-16,2018-02-16,76.82
2018-02-20,2018-02-20,76.46
2018-02-21,2018-02-21,77.0
2018-02-22,2018-02-22,76.27
2018-02-23,2018-02-23,77.08
2018-02-26,2018-02-26,77.65
2018-02-27,2018-02-27,76.38
2018-02-28,2018-02-28,75.49
2018-03-01,2018-03-01,73.66
2018-03-02,2018-03-02,73.68
2018-03-05,2018-03-05,74.42
2018-03-06,2018-03-06,74.06
2018-03-07,2018-03-07,73.92
2018-03-08,2018-03-08,74.11
2018-03-09,2018-03-09,76.11
2018-03-12,2018-03-12,76.02
2018-03-13,2018-03-13,74.91
2018-03-14,2018-03-14,73.47
2018-03-15,2018-03-15,73.34
2018-03-16,2018-03-16,73.47
2018-03-19,2018-03-19,72.7
2018-03-20,2018-03-20,72.92
2018-03-21,2018-03-21,73.32
2018-03-22,2018-03-22,70.31
2018-03-23,2018-03-23,67.9
2018-03-26,2018-03-26,69.78
2018-03-27,2018-03-27,68.28
2018-03-28,2018-03-28,68.26
2018-03-29,2018-03-29,67.5
2018-04-02,2018-04-02,67.71
2018-04-03,2018-04-03,68.48
2018-04-04,2018-04-04,69.31
2018-04-05,2018-04-05,70.22
2018-04-06,2018-04-06,68.6
2018-04-09,2018-04-09,69.44
2018-04-10,2018-04-10,70.51
2018-04-11,2018-04-11,69.89
2018-04-12,2018-04-12,72.13
2018-04-13,2018-04-13,71.01
2018-04-16,2018-04-16,70.07
2018-04-17,2018-04-17,69.74
2018-04-18,2018-04-18,68.98
2018-04-19,2018-04-19,70.28
2018-04-20,2018-04-20,70.0
2018-04-23,2018-04-23,69.48
2018-04-24,2018-04-24,69.12
2018-04-25,2018-04-25,69.36
2018-04-26,2018-04-26,69.18
2018-04-27,2018-04-27,68.99
2018-04-30,2018-04-30,68.27
2018-05-01,2018-05-01,68.25
