DATE,DATE,CLOSE
2016-11-01,2016-11-01,39.05
2016-11-02,2016-11-02,38.7
2016-11-03,2016-11-03,38.38
2016-11-04,2016-11-04,39.09
2016-11-07,2016-11-07,39.86
2016-11-08,2016-11-08,39.83
2016-11-09,2016-11-09,40.07
2016-11-10,2016-11-10,40.61
2016-11-11,2016-11-11,40.14
2016-11-14,2016-11-14,39.2
2016-11-15,2016-11-15,39.81
2016-11-16,2016-11-16,39.95
2016-11-17,2016-11-17,40.39
2016-11-18,2016-11-18,39.84
2016-11-21,2016-11-21,39.76
2016-11-22,2016-11-22,38.1
2016-11-23,2016-11-23,38.98
2016-11-25,2016-11-25,39.16
2016-11-28,2016-11-28,38.74
2016-11-29,2016-11-29,38.73
2016-11-30,2016-11-30,38.07
2016-12-01,2016-12-01,37.6
2016-12-02,2016-12-02,37.9
2016-12-05,2016-12-05,38.43
2016-12-06,2016-12-06,38.42
2016-12-07,2016-12-07,38.48
2016-12-08,2016-12-08,38.68
2016-12-09,2016-12-09,39.2
2016-12-12,2016-12-12,39.2
2016-12-13,2016-12-13,39.44
2016-12-14,2016-12-14,38.82
2016-12-15,2016-12-15,38.93
2016-12-16,2016-12-16,38.1
2016-12-19,2016-12-19,38.34
2016-12-20,2016-12-20,38.19
2016-12-21,2016-12-21,38.24
2016-12-22,2016-12-22,38.29
2016-12-23,2016-12-23,38.42
2016-12-27,2016-12-27,38.6
2016-12-28,2016-12-28,38.22
2016-12-29,2016-12-29,38.31
2016-12-30,2016-12-30,38.41
2017-01-03,2017-01-03,39.05
2017-01-04,2017-01-04,39.36
2017-01-05,2017-01-05,39.7
2017-01-06,2017-01-06,40.78
2017-01-09,2017-01-09,40.74
2017-01-10,2017-01-10,41.29
2017-01-11,2017-01-11,41.08
2017-01-12,2017-01-12,40.72
2017-01-13,2017-01-13,40.93
2017-01-17,2017-01-17,40.9
2017-01-18,2017-01-18,40.76
2017-01-19,2017-01-19,40.4
2017-01-20,2017-01-20,40.46
2017-01-23,2017-01-23,40.34
2017-01-24,2017-01-24,40.31
2017-01-25,2017-01-25,40.31
2017-01-26,2017-01-26,40.96
2017-01-27,2017-01-27,41.0
2017-01-30,2017-01-30,41.01
2017-01-31,2017-01-31,41.77
2017-02-01,2017-02-01,42.33
2017-02-02,2017-02-02,42.75
2017-02-03,2017-02-03,42.78
2017-02-06,2017-02-06,42.43
2017-02-07,2017-02-07,42.89
2017-02-08,2017-02-08,42.4
2017-02-09,2017-02-09,42.54
2017-02-10,2017-02-10,42.74
2017-02-13,2017-02-13,43.22
2017-02-14,2017-02-14,43.65
2017-02-15,2017-02-15,44.0
2017-02-16,2017-02-16,44.2
2017-02-17,2017-02-17,44.69
2017-02-21,2017-02-21,45.01
2017-02-22,2017-02-22,45.01
2017-02-23,2017-02-23,45.4
2017-02-24,2017-02-24,45.68
2017-02-27,2017-02-27,45.46
2017-02-28,2017-02-28,45.08
2017-03-01,2017-03-01,45.59
2017-03-02,2017-03-02,45.69
2017-03-03,2017-03-03,45.25
2017-03-06,2017-03-06,45.13
2017-03-07,2017-03-07,45.0
2017-03-08,2017-03-08,45.36
2017-03-09,2017-03-09,45.63
2017-03-10,2017-03-10,45.72
2017-03-13,2017-03-13,45.53
2017-03-14,2017-03-14,44.8
2017-03-15,2017-03-15,45.32
2017-03-16,2017-03-16,44.98
2017-03-17,2017-03-17,45.19
2017-03-20,2017-03-20,44.98
2017-03-21,2017-03-21,44.8
2017-03-22,2017-03-22,44.81
2017-03-23,2017-03-23,44.77
2017-03-24,2017-03-24,44.73
2017-03-27,2017-03-27,44.7
2017-03-28,2017-03-28,44.7
2017-03-29,2017-03-29,44.67
2017-03-30,2017-03-30,44.55
2017-03-31,2017-03-31,44.41
2017-04-03,2017-04-03,44.47
2017-04-04,2017-04-04,44.18
2017-04-05,2017-04-05,43.8
2017-04-06,2017-04-06,43.67
2017-04-07,2017-04-07,43.83
2017-04-10,2017-04-10,43.59
2017-04-11,2017-04-11,43.58
2017-04-12,2017-04-12,43.48
2017-04-13,2017-04-13,42.67
2017-04-17,2017-04-17,43.31
2017-04-18,2017-04-18,43.43
2017-04-19,2017-04-19,43.59
2017-04-20,2017-04-20,43.98
2017-04-21,2017-04-21,43.53
2017-04-24,2017-04-24,44.13
2017-04-25,2017-04-25,43.76
2017-04-26,2017-04-26,43.8
2017-04-27,2017-04-27,43.65
2017-04-28,2017-04-28,43.64
2017-05-01,2017-05-01,43.48
2017-05-02,2017-05-02,43.6
2017-05-03,2017-05-03,43.72
2017-05-04,2017-05-04,44.59
2017-05-05,2017-05-05,44.64
2017-05-08,2017-05-08,44.68
2017-05-09,2017-05-09,44.67
2017-05-10,2017-05-10,44.5
2017-05-11,2017-05-11,43.86
2017-05-12,2017-05-12,43.96
2017-05-15,2017-05-15,44.04
2017-05-16,2017-05-16,43.69
2017-05-17,2017-05-17,43.08
2017-05-18,2017-05-18,42.98
2017-05-19,2017-05-19,43.16
2017-05-22,2017-05-22,43.73
2017-05-23,2017-05-23,43.68
2017-05-24,2017-05-24,43.53
2017-05-25,2017-05-25,43.95
2017-05-26,2017-05-26,44.71
2017-05-30,2017-05-30,45.0
2017-05-31,2017-05-31,45.66
2017-06-01,2017-06-01,46.1
2017-06-02,2017-06-02,46.5
2017-06-05,2017-06-05,46.62
2017-06-06,2017-06-06,46.36
2017-06-07,2017-06-07,46.56
2017-06-08,2017-06-08,46.72
2017-06-09,2017-06-09,47.29
2017-06-12,2017-06-12,47.17
2017-06-13,2017-06-13,47.46
2017-06-14,2017-06-14,47.64
2017-06-15,2017-06-15,48.12
2017-06-16,2017-06-16,48.21
2017-06-19,2017-06-19,48.89
2017-06-20,2017-06-20,48.77
2017-06-21,2017-06-21,48.57
2017-06-22,2017-06-22,49.27
2017-06-23,2017-06-23,49.08
2017-06-26,2017-06-26,48.91
2017-06-27,2017-06-27,48.67
2017-06-28,2017-06-28,48.48
2017-06-29,2017-06-29,48.73
2017-06-30,2017-06-30,48.61
2017-07-03,2017-07-03,48.71
2017-07-05,2017-07-05,49.0
2017-07-06,2017-07-06,47.94
2017-07-07,2017-07-07,48.44
2017-07-10,2017-07-10,48.23
2017-07-11,2017-07-11,48.15
2017-07-12,2017-07-12,48.43
2017-07-13,2017-07-13,48.08
2017-07-14,2017-07-14,48.91
2017-07-17,2017-07-17,48.76
2017-07-18,2017-07-18,48.74
2017-07-19,2017-07-19,49.43
2017-07-20,2017-07-20,50.85
2017-07-21,2017-07-21,50.84
2017-07-24,2017-07-24,50.8
2017-07-25,2017-07-25,50.83
2017-07-26,2017-07-26,50.4
2017-07-27,2017-07-27,50.11
2017-07-28,2017-07-28,49.61
2017-07-31,2017-07-31,49.18
2017-08-01,2017-08-01,49.15
2017-08-02,2017-08-02,49.23
2017-08-03,2017-08-03,49.16
2017-08-04,2017-08-04,49.26
2017-08-07,2017-08-07,49.3
2017-08-08,2017-08-08,48.88
2017-08-09,2017-08-09,48.77
2017-08-10,2017-08-10,48.06
2017-08-11,2017-08-11,48.54
2017-08-14,2017-08-14,49.08
2017-08-15,2017-08-15,48.82
2017-08-16,2017-08-16,49.81
2017-08-17,2017-08-17,49.29
2017-08-18,2017-08-18,48.74
2017-08-21,2017-08-21,48.88
2017-08-22,2017-08-22,49.71
2017-08-23,2017-08-23,49.64
2017-08-24,2017-08-24,49.38
2017-08-25,2017-08-25,49.35
2017-08-28,2017-08-28,50.26
2017-08-29,2017-08-29,50.15
2017-08-30,2017-08-30,50.11
2017-08-31,2017-08-31,50.94
2017-09-01,2017-09-01,51.18
2017-09-05,2017-09-05,51.03
2017-09-06,2017-09-06,51.19
2017-09-07,2017-09-07,51.49
2017-09-08,2017-09-08,52.02
2017-09-11,2017-09-11,52.45
