DATE,DATE,CLOSE
2017-03-06,2017-03-06,110.84
2017-03-07,2017-03-07,110.24
2017-03-08,2017-03-08,110.47
2017-03-09,2017-03-09,109.58
2017-03-10,2017-03-10,109.92
2017-03-13,2017-03-13,109.88
2017-03-14,2017-03-14,109.21
2017-03-15,2017-03-15,110.79
2017-03-16,2017-03-16,110.73
2017-03-17,2017-03-17,110.45
2017-03-20,2017-03-20,110.88
2017-03-21,2017-03-21,109.61
2017-03-22,2017-03-22,109.77
2017-03-23,2017-03-23,109.53
2017-03-24,2017-03-24,108.98
2017-03-27,2017-03-27,107.16
2017-03-28,2017-03-28,108.33
2017-03-29,2017-03-29,108.18
2017-03-30,2017-03-30,109.17
2017-03-31,2017-03-31,108.86
2017-04-03,2017-04-03,108.78
2017-04-04,2017-04-04,109.5
2017-04-05,2017-04-05,109.25
2017-04-06,2017-04-06,110.44
2017-04-07,2017-04-07,109.32
2017-04-10,2017-04-10,109.63
2017-04-11,2017-04-11,111.16
2017-04-12,2017-04-12,109.35
2017-04-13,2017-04-13,108.0
2017-04-17,2017-04-17,108.8
2017-04-18,2017-04-18,108.47
2017-04-19,2017-04-19,108.22
2017-04-20,2017-04-20,108.8
2017-04-21,2017-04-21,107.54
2017-04-24,2017-04-24,110.25
2017-04-25,2017-04-25,113.15
2017-04-26,2017-04-26,112.55
2017-04-27,2017-04-27,111.18
2017-04-28,2017-04-28,111.61
2017-05-01,2017-05-01,111.97
2017-05-02,2017-05-02,110.93
2017-05-03,2017-05-03,110.79
2017-05-04,2017-05-04,112.03
2017-05-05,2017-05-05,113.11
2017-05-08,2017-05-08,112.64
2017-05-09,2017-05-09,113.58
2017-05-10,2017-05-10,113.55
2017-05-11,2017-05-11,113.47
2017-05-12,2017-05-12,113.11
2017-05-15,2017-05-15,113.8
2017-05-16,2017-05-16,114.8
2017-05-17,2017-05-17,113.23
2017-05-18,2017-05-18,112.67
2017-05-19,2017-05-19,120.9
2017-05-22,2017-05-22,121.71
2017-05-23,2017-05-23,122.13
2017-05-24,2017-05-24,122.78
2017-05-25,2017-05-25,122.43
2017-05-26,2017-05-26,122.79
2017-05-30,2017-05-30,122.26
2017-05-31,2017-05-31,122.46
2017-06-01,2017-06-01,124.7
2017-06-02,2017-06-02,124.91
2017-06-05,2017-06-05,125.33
2017-06-06,2017-06-06,125.05
2017-06-07,2017-06-07,125.29
2017-06-08,2017-06-08,126.0
2017-06-09,2017-06-09,125.95
2017-06-12,2017-06-12,126.0
2017-06-13,2017-06-13,126.42
2017-06-14,2017-06-14,126.43
2017-06-15,2017-06-15,126.37
2017-06-16,2017-06-16,127.9
2017-06-19,2017-06-19,126.99
2017-06-20,2017-06-20,126.04
2017-06-21,2017-06-21,124.78
2017-06-22,2017-06-22,123.86
2017-06-23,2017-06-23,123.6
2017-06-26,2017-06-26,123.35
2017-06-27,2017-06-27,122.0
2017-06-28,2017-06-28,123.47
2017-06-29,2017-06-29,121.91
2017-06-30,2017-06-30,123.59
2017-07-03,2017-07-03,124.95
2017-07-05,2017-07-05,125.6
2017-07-06,2017-07-06,125.09
2017-07-07,2017-07-07,126.64
2017-07-10,2017-07-10,128.14
2017-07-11,2017-07-11,128.06
2017-07-12,2017-07-12,123.48
2017-07-13,2017-07-13,124.42
2017-07-14,2017-07-14,125.47
2017-07-17,2017-07-17,125.88
2017-07-18,2017-07-18,126.09
2017-07-19,2017-07-19,126.31
2017-07-20,2017-07-20,125.6
2017-07-21,2017-07-21,125.75
2017-07-24,2017-07-24,126.55
2017-07-25,2017-07-25,127.9
2017-07-26,2017-07-26,127.82
2017-07-27,2017-07-27,128.44
2017-07-28,2017-07-28,128.91
2017-07-31,2017-07-31,128.28
2017-08-01,2017-08-01,129.02
2017-08-02,2017-08-02,128.98
2017-08-03,2017-08-03,129.51
2017-08-04,2017-08-04,129.75
2017-08-07,2017-08-07,129.96
2017-08-08,2017-08-08,132.02
2017-08-09,2017-08-09,132.41
2017-08-10,2017-08-10,127.78
2017-08-11,2017-08-11,126.7
2017-08-14,2017-08-14,128.57
2017-08-15,2017-08-15,127.18
2017-08-16,2017-08-16,126.63
2017-08-17,2017-08-17,123.98
2017-08-18,2017-08-18,117.31
2017-08-21,2017-08-21,116.52
2017-08-22,2017-08-22,117.48
2017-08-23,2017-08-23,116.45
2017-08-24,2017-08-24,115.44
2017-08-25,2017-08-25,115.84
2017-08-28,2017-08-28,115.96
2017-08-29,2017-08-29,115.89
2017-08-30,2017-08-30,115.49
2017-08-31,2017-08-31,115.93
2017-09-01,2017-09-01,116.14
2017-09-05,2017-09-05,115.53
2017-09-06,2017-09-06,116.22
2017-09-07,2017-09-07,116.33
2017-09-08,2017-09-08,117.3
2017-09-11,2017-09-11,117.93
2017-09-12,2017-09-12,117.26
2017-09-13,2017-09-13,117.37
2017-09-14,2017-09-14,118.37
2017-09-15,2017-09-15,119.01
2017-09-18,2017-09-18,119.89
2017-09-19,2017-09-19,123.08
2017-09-20,2017-09-20,123.95
2017-09-21,2017-09-21,124.78
2017-09-22,2017-09-22,123.75
2017-09-25,2017-09-25,123.77
2017-09-26,2017-09-26,123.28
2017-09-27,2017-09-27,123.32
2017-09-28,2017-09-28,123.66
2017-09-29,2017-09-29,125.59
2017-10-02,2017-10-02,127.29
2017-10-03,2017-10-03,128.1
2017-10-04,2017-10-04,128.33
2017-10-05,2017-10-05,128.01
2017-10-06,2017-10-06,128.13
2017-10-09,2017-10-09,128.64
2017-10-10,2017-10-10,128.25
2017-10-11,2017-10-11,127.77
2017-10-12,2017-10-12,128.5
2017-10-13,2017-10-13,127.91
2017-10-16,2017-10-16,127.72
2017-10-17,2017-10-17,128.69
2017-10-18,2017-10-18,128.72
2017-10-19,2017-10-19,128.52
2017-10-20,2017-10-20,129.15
2017-10-23,2017-10-23,129.59
2017-10-24,2017-10-24,131.02
2017-10-25,2017-10-25,130.56
2017-10-26,2017-10-26,132.14
2017-10-27,2017-10-27,133.25
2017-10-30,2017-10-30,132.3
2017-10-31,2017-10-31,132.88
2017-11-01,2017-11-01,134.27
2017-11-02,2017-11-02,134.44
2017-11-03,2017-11-03,135.03
2017-11-06,2017-11-06,135.31
2017-11-07,2017-11-07,135.71
2017-11-08,2017-11-08,134.64
2017-11-09,2017-11-09,131.28
2017-11-10,2017-11-10,132.23
2017-11-13,2017-11-13,131.91
2017-11-14,2017-11-14,132.88
2017-11-15,2017-11-15,132.27
2017-11-16,2017-11-16,134.61
2017-11-17,2017-11-17,135.77
2017-11-20,2017-11-20,136.92
2017-11-21,2017-11-21,139.23
2017-11-22,2017-11-22,145.25
2017-11-24,2017-11-24,145.5
2017-11-27,2017-11-27,148.77
2017-11-28,2017-11-28,149.38
2017-11-29,2017-11-29,148.44
2017-11-30,2017-11-30,149.86
2017-12-01,2017-12-01,149.94
2017-12-04,2017-12-04,150.97
2017-12-05,2017-12-05,150.67
2017-12-06,2017-12-06,149.45
2017-12-07,2017-12-07,151.11
2017-12-08,2017-12-08,151.58
2017-12-11,2017-12-11,151.33
2017-12-12,2017-12-12,151.07
2017-12-13,2017-12-13,151.95
2017-12-14,2017-12-14,149.44
2017-12-15,2017-12-15,150.87
2017-12-18,2017-12-18,154.04
2017-12-19,2017-12-19,154.48
2017-12-20,2017-12-20,154.37
2017-12-21,2017-12-21,155.86
2017-12-22,2017-12-22,157.53
2017-12-26,2017-12-26,158.75
2017-12-27,2017-12-27,158.58
2017-12-28,2017-12-28,157.7
2017-12-29,2017-12-29,156.51
2018-01-02,2018-01-02,158.01
2018-01-03,2018-01-03,158.73
2018-01-04,2018-01-04,159.64
2018-01-05,2018-01-05,160.32
2018-01-08,2018-01-08,161.11
2018-01-09,2018-01-09,165.6
2018-01-10,2018-01-10,164.94
2018-01-11,2018-01-11,167.46
2018-01-12,2018-01-12,169.3
2018-01-16,2018-01-16,167.54
2018-01-17,2018-01-17,167.43
2018-01-18,2018-01-18,167.9
2018-01-19,2018-01-19,170.32
2018-01-22,2018-01-22,170.38
2018-01-23,2018-01-23,168.66
2018-01-24,2018-01-24,169.6
2018-01-25,2018-01-25,169.13
2018-01-26,2018-01-26,171.49
2018-01-29,2018-01-29,169.18
2018-01-30,2018-01-30,168.51
2018-01-31,2018-01-31,166.42
2018-02-01,2018-02-01,167.85
2018-02-02,2018-02-02,164.96
2018-02-05,2018-02-05,157.02
2018-02-06,2018-02-06,161.88
2018-02-07,2018-02-07,161.44
2018-02-08,2018-02-08,153.66
2018-02-09,2018-02-09,154.93
2018-02-12,2018-02-12,159.21
2018-02-13,2018-02-13,161.3
2018-02-14,2018-02-14,163.28
2018-02-15,2018-02-15,166.81
2018-02-16,2018-02-16,169.44
2018-02-20,2018-02-20,164.77
2018-02-21,2018-02-21,162.09
2018-02-22,2018-02-22,164.16
2018-02-23,2018-02-23,166.24
2018-02-26,2018-02-26,167.46
2018-02-27,2018-02-27,163.58
2018-02-28,2018-02-28,160.87
2018-03-01,2018-03-01,156.81
2018-03-02,2018-03-02,153.31
2018-03-05,2018-03-05,157.54
2018-03-06,2018-03-06,158.51
2018-03-07,2018-03-07,157.9
2018-03-08,2018-03-08,161.06
2018-03-09,2018-03-09,167.93
2018-03-12,2018-03-12,164.03
2018-03-13,2018-03-13,161.32
2018-03-14,2018-03-14,160.21
2018-03-15,2018-03-15,159.6
2018-03-16,2018-03-16,163.88
2018-03-19,2018-03-19,159.53
2018-03-20,2018-03-20,159.99
2018-03-21,2018-03-21,158.05
2018-03-22,2018-03-22,151.58
2018-03-23,2018-03-23,148.0
2018-03-26,2018-03-26,153.34
2018-03-27,2018-03-27,152.16
2018-03-28,2018-03-28,151.48
2018-03-29,2018-03-29,155.32
2018-04-02,2018-04-02,151.82
2018-04-03,2018-04-03,153.04
2018-04-04,2018-04-04,148.57
2018-04-05,2018-04-05,151.34
2018-04-06,2018-04-06,145.39
2018-04-09,2018-04-09,142.96
2018-04-10,2018-04-10,148.01
2018-04-11,2018-04-11,144.41
2018-04-12,2018-04-12,150.26
2018-04-13,2018-04-13,149.98
2018-04-16,2018-04-16,148.98
2018-04-17,2018-04-17,149.15
2018-04-18,2018-04-18,149.77
2018-04-19,2018-04-19,148.1
2018-04-20,2018-04-20,146.96
2018-04-23,2018-04-23,146.04
2018-04-24,2018-04-24,138.11
2018-04-25,2018-04-25,138.0
2018-04-26,2018-04-26,136.33
2018-04-27,2018-04-27,137.56
2018-04-30,2018-04-30,135.33
2018-05-01,2018-05-01,135.37
