DATE,DATE,CLOSE
2016-11-01,2016-11-01,60.82
2016-11-02,2016-11-02,60.87
2016-11-03,2016-11-03,61.3
2016-11-04,2016-11-04,61.59
2016-11-07,2016-11-07,61.61
2016-11-08,2016-11-08,62.57
2016-11-09,2016-11-09,61.28
2016-11-10,2016-11-10,59.98
2016-11-11,2016-11-11,60.05
2016-11-14,2016-11-14,61.0
2016-11-15,2016-11-15,59.3
2016-11-16,2016-11-16,59.93
2016-11-17,2016-11-17,58.99
2016-11-18,2016-11-18,58.98
2016-11-21,2016-11-21,58.81
2016-11-22,2016-11-22,60.06
2016-11-23,2016-11-23,59.21
2016-11-25,2016-11-25,59.43
2016-11-28,2016-11-28,59.98
2016-11-29,2016-11-29,60.49
2016-11-30,2016-11-30,60.01
2016-12-01,2016-12-01,59.7
2016-12-02,2016-12-02,60.5
2016-12-05,2016-12-05,61.09
2016-12-06,2016-12-06,61.79
2016-12-07,2016-12-07,62.63
2016-12-08,2016-12-08,62.9
2016-12-09,2016-12-09,62.87
2016-12-12,2016-12-12,63.02
2016-12-13,2016-12-13,63.15
2016-12-14,2016-12-14,62.79
2016-12-15,2016-12-15,63.0
2016-12-16,2016-12-16,64.05
2016-12-19,2016-12-19,64.14
2016-12-20,2016-12-20,64.41
2016-12-21,2016-12-21,63.46
2016-12-22,2016-12-22,62.97
2016-12-23,2016-12-23,62.95
2016-12-27,2016-12-27,63.19
2016-12-28,2016-12-28,62.92
2016-12-29,2016-12-29,63.68
2016-12-30,2016-12-30,64.36
2017-01-03,2017-01-03,63.63
2017-01-04,2017-01-04,64.28
2017-01-05,2017-01-05,65.15
2017-01-06,2017-01-06,65.38
2017-01-09,2017-01-09,64.47
2017-01-10,2017-01-10,63.88
2017-01-11,2017-01-11,63.31
2017-01-12,2017-01-12,64.11
2017-01-13,2017-01-13,63.39
2017-01-17,2017-01-17,63.48
2017-01-18,2017-01-18,63.6
2017-01-19,2017-01-19,63.0
2017-01-20,2017-01-20,63.36
2017-01-23,2017-01-23,63.02
2017-01-24,2017-01-24,62.29
2017-01-25,2017-01-25,61.7
2017-01-26,2017-01-26,61.52
2017-01-27,2017-01-27,61.02
2017-01-30,2017-01-30,60.7
2017-01-31,2017-01-31,60.77
2017-02-01,2017-02-01,59.9
2017-02-02,2017-02-02,60.76
2017-02-03,2017-02-03,60.38
2017-02-06,2017-02-06,60.56
2017-02-07,2017-02-07,60.66
2017-02-08,2017-02-08,61.42
2017-02-09,2017-02-09,61.41
2017-02-10,2017-02-10,61.93
2017-02-13,2017-02-13,62.14
2017-02-14,2017-02-14,62.0
2017-02-15,2017-02-15,61.66
2017-02-16,2017-02-16,61.88
2017-02-17,2017-02-17,61.58
2017-02-21,2017-02-21,62.42
2017-02-22,2017-02-22,61.93
2017-02-23,2017-02-23,62.76
2017-02-24,2017-02-24,62.78
2017-02-27,2017-02-27,63.26
2017-02-28,2017-02-28,63.07
2017-03-01,2017-03-01,63.02
2017-03-02,2017-03-02,63.26
2017-03-03,2017-03-03,62.32
2017-03-06,2017-03-06,62.42
2017-03-07,2017-03-07,62.55
2017-03-08,2017-03-08,62.67
2017-03-09,2017-03-09,62.13
2017-03-10,2017-03-10,61.96
2017-03-13,2017-03-13,62.57
2017-03-14,2017-03-14,62.33
2017-03-15,2017-03-15,63.42
2017-03-16,2017-03-16,63.39
2017-03-17,2017-03-17,63.43
2017-03-20,2017-03-20,63.19
2017-03-21,2017-03-21,62.99
2017-03-22,2017-03-22,63.37
2017-03-23,2017-03-23,63.15
2017-03-24,2017-03-24,62.94
2017-03-27,2017-03-27,62.2
2017-03-28,2017-03-28,62.41
2017-03-29,2017-03-29,62.29
2017-03-30,2017-03-30,62.19
2017-03-31,2017-03-31,62.22
2017-04-03,2017-04-03,62.14
2017-04-04,2017-04-04,62.33
2017-04-05,2017-04-05,63.01
2017-04-06,2017-04-06,62.9
2017-04-07,2017-04-07,63.04
2017-04-10,2017-04-10,63.49
2017-04-11,2017-04-11,63.92
2017-04-12,2017-04-12,63.44
2017-04-13,2017-04-13,63.24
2017-04-17,2017-04-17,64.11
2017-04-18,2017-04-18,64.39
2017-04-19,2017-04-19,64.34
2017-04-20,2017-04-20,64.4
2017-04-21,2017-04-21,64.28
2017-04-24,2017-04-24,64.2
2017-04-25,2017-04-25,64.93
2017-04-26,2017-04-26,65.28
2017-04-27,2017-04-27,64.53
2017-04-28,2017-04-28,64.58
2017-05-01,2017-05-01,64.83
2017-05-02,2017-05-02,64.73
2017-05-03,2017-05-03,63.92
2017-05-04,2017-05-04,64.41
2017-05-05,2017-05-05,65.49
2017-05-08,2017-05-08,65.02
2017-05-09,2017-05-09,64.84
2017-05-10,2017-05-10,65.15
2017-05-11,2017-05-11,64.81
2017-05-12,2017-05-12,64.9
2017-05-15,2017-05-15,64.84
2017-05-16,2017-05-16,64.52
2017-05-17,2017-05-17,64.34
2017-05-18,2017-05-18,65.41
2017-05-19,2017-05-19,65.55
2017-05-22,2017-05-22,65.36
2017-05-23,2017-05-23,64.93
2017-05-24,2017-05-24,65.2
2017-05-25,2017-05-25,65.07
2017-05-26,2017-05-26,65.17
2017-05-30,2017-05-30,65.31
2017-05-31,2017-05-31,65.09
2017-06-01,2017-06-01,64.93
2017-06-02,2017-06-02,66.72
2017-06-05,2017-06-05,67.42
2017-06-06,2017-06-06,66.9
2017-06-07,2017-06-07,67.09
2017-06-08,2017-06-08,67.44
2017-06-09,2017-06-09,67.63
2017-06-12,2017-06-12,66.95
2017-06-13,2017-06-13,67.11
2017-06-14,2017-06-14,67.19
2017-06-15,2017-06-15,67.77
2017-06-16,2017-06-16,68.57
2017-06-19,2017-06-19,68.13
2017-06-20,2017-06-20,68.16
2017-06-21,2017-06-21,68.01
2017-06-22,2017-06-22,67.04
2017-06-23,2017-06-23,67.21
2017-06-26,2017-06-26,67.14
2017-06-27,2017-06-27,66.41
2017-06-28,2017-06-28,66.37
2017-06-29,2017-06-29,66.3
2017-06-30,2017-06-30,65.83
2017-07-03,2017-07-03,66.57
2017-07-05,2017-07-05,66.78
2017-07-06,2017-07-06,64.89
2017-07-07,2017-07-07,64.98
2017-07-10,2017-07-10,64.73
2017-07-11,2017-07-11,64.41
2017-07-12,2017-07-12,65.05
2017-07-13,2017-07-13,65.01
2017-07-14,2017-07-14,65.46
2017-07-17,2017-07-17,66.25
2017-07-18,2017-07-18,66.05
2017-07-19,2017-07-19,67.16
2017-07-20,2017-07-20,67.16
2017-07-21,2017-07-21,67.16
2017-07-24,2017-07-24,66.65
2017-07-25,2017-07-25,66.07
2017-07-26,2017-07-26,67.36
2017-07-27,2017-07-27,67.5
2017-07-28,2017-07-28,67.71
2017-07-31,2017-07-31,68.06
2017-08-01,2017-08-01,67.84
2017-08-02,2017-08-02,67.76
2017-08-03,2017-08-03,67.3
2017-08-04,2017-08-04,67.32
2017-08-07,2017-08-07,67.24
2017-08-08,2017-08-08,67.15
2017-08-09,2017-08-09,67.35
2017-08-10,2017-08-10,67.08
2017-08-11,2017-08-11,66.98
2017-08-14,2017-08-14,67.98
2017-08-15,2017-08-15,68.31
2017-08-16,2017-08-16,67.91
2017-08-17,2017-08-17,67.65
2017-08-18,2017-08-18,67.17
2017-08-21,2017-08-21,67.77
2017-08-22,2017-08-22,67.74
2017-08-23,2017-08-23,67.98
2017-08-24,2017-08-24,67.97
2017-08-25,2017-08-25,67.94
2017-08-28,2017-08-28,67.37
2017-08-29,2017-08-29,67.15
2017-08-30,2017-08-30,67.31
2017-08-31,2017-08-31,67.15
2017-09-01,2017-09-01,66.99
2017-09-05,2017-09-05,67.14
2017-09-06,2017-09-06,67.22
2017-09-07,2017-09-07,67.72
2017-09-08,2017-09-08,68.09
2017-09-11,2017-09-11,68.61
2017-09-12,2017-09-12,67.61
2017-09-13,2017-09-13,67.31
2017-09-14,2017-09-14,67.39
2017-09-15,2017-09-15,67.88
2017-09-18,2017-09-18,67.34
2017-09-19,2017-09-19,66.83
2017-09-20,2017-09-20,66.72
2017-09-21,2017-09-21,66.47
2017-09-22,2017-09-22,65.88
2017-09-25,2017-09-25,66.08
2017-09-26,2017-09-26,66.03
2017-09-27,2017-09-27,65.62
2017-09-28,2017-09-28,65.84
2017-09-29,2017-09-29,65.93
2017-10-02,2017-10-02,65.6
2017-10-03,2017-10-03,65.55
2017-10-04,2017-10-04,66.52
2017-10-05,2017-10-05,66.57
2017-10-06,2017-10-06,66.42
2017-10-09,2017-10-09,66.44
2017-10-10,2017-10-10,66.4
2017-10-11,2017-10-11,66.47
2017-10-12,2017-10-12,67.23
2017-10-13,2017-10-13,67.49
2017-10-16,2017-10-16,67.27
2017-10-17,2017-10-17,66.88
2017-10-18,2017-10-18,66.72
2017-10-19,2017-10-19,66.06
2017-10-20,2017-10-20,66.14
2017-10-23,2017-10-23,66.67
2017-10-24,2017-10-24,65.79
2017-10-25,2017-10-25,66.88
2017-10-26,2017-10-26,67.15
2017-10-27,2017-10-27,67.65
2017-10-30,2017-10-30,67.02
2017-10-31,2017-10-31,67.26
2017-11-01,2017-11-01,67.81
2017-11-02,2017-11-02,66.85
2017-11-03,2017-11-03,68.21
2017-11-06,2017-11-06,69.21
2017-11-07,2017-11-07,69.56
2017-11-08,2017-11-08,70.37
2017-11-09,2017-11-09,69.88
2017-11-10,2017-11-10,69.25
2017-11-13,2017-11-13,70.15
2017-11-14,2017-11-14,69.98
2017-11-15,2017-11-15,69.03
2017-11-16,2017-11-16,69.22
2017-11-17,2017-11-17,68.32
2017-11-20,2017-11-20,67.92
2017-11-21,2017-11-21,68.1
2017-11-22,2017-11-22,68.14
2017-11-24,2017-11-24,68.21
2017-11-27,2017-11-27,67.63
2017-11-28,2017-11-28,66.9
2017-11-29,2017-11-29,66.74
2017-11-30,2017-11-30,66.82
2017-12-01,2017-12-01,66.53
2017-12-04,2017-12-04,66.3
2017-12-05,2017-12-05,65.51
2017-12-06,2017-12-06,65.4
2017-12-07,2017-12-07,65.15
2017-12-08,2017-12-08,65.81
2017-12-11,2017-12-11,65.92
2017-12-12,2017-12-12,66.3
2017-12-13,2017-12-13,65.63
2017-12-14,2017-12-14,65.4
2017-12-15,2017-12-15,65.66
2017-12-18,2017-12-18,65.6
2017-12-19,2017-12-19,64.3
2017-12-20,2017-12-20,63.81
2017-12-21,2017-12-21,63.39
2017-12-22,2017-12-22,63.8
2017-12-26,2017-12-26,64.1
2017-12-27,2017-12-27,64.08
2017-12-28,2017-12-28,64.25
2017-12-29,2017-12-29,63.77
2018-01-02,2018-01-02,63.51
2018-01-03,2018-01-03,63.84
2018-01-04,2018-01-04,62.74
2018-01-05,2018-01-05,62.69
2018-01-08,2018-01-08,63.11
2018-01-09,2018-01-09,62.35
2018-01-10,2018-01-10,61.46
2018-01-11,2018-01-11,60.96
2018-01-12,2018-01-12,60.42
2018-01-16,2018-01-16,60.67
2018-01-17,2018-01-17,60.85
2018-01-18,2018-01-18,60.45
2018-01-19,2018-01-19,60.47
2018-01-22,2018-01-22,61.18
2018-01-23,2018-01-23,61.79
2018-01-24,2018-01-24,61.44
2018-01-25,2018-01-25,61.21
2018-01-26,2018-01-26,61.54
2018-01-29,2018-01-29,61.21
2018-01-30,2018-01-30,60.57
2018-01-31,2018-01-31,61.61
2018-02-01,2018-02-01,60.33
2018-02-02,2018-02-02,59.95
2018-02-05,2018-02-05,58.05
2018-02-06,2018-02-06,57.71
2018-02-07,2018-02-07,56.86
2018-02-08,2018-02-08,55.26
2018-02-09,2018-02-09,56.65
2018-02-12,2018-02-12,56.61
2018-02-13,2018-02-13,56.99
2018-02-14,2018-02-14,56.67
2018-02-15,2018-02-15,57.91
2018-02-16,2018-02-16,57.97
2018-02-20,2018-02-20,57.64
2018-02-21,2018-02-21,55.87
2018-02-22,2018-02-22,56.17
2018-02-23,2018-02-23,56.99
2018-02-26,2018-02-26,57.13
2018-02-27,2018-02-27,55.83
2018-02-28,2018-02-28,56.23
2018-03-01,2018-03-01,56.32
