DATE,DATE,CLOSE
2016-11-01,2016-11-01,112.14
2016-11-02,2016-11-02,111.99
2016-11-03,2016-11-03,111.18
2016-11-04,2016-11-04,110.67
2016-11-07,2016-11-07,112.87
2016-11-08,2016-11-08,113.6
2016-11-09,2016-11-09,114.76
2016-11-10,2016-11-10,116.15
2016-11-11,2016-11-11,115.67
2016-11-14,2016-11-14,113.98
2016-11-15,2016-11-15,114.14
2016-11-16,2016-11-16,114.78
2016-11-17,2016-11-17,114.83
2016-11-18,2016-11-18,114.28
2016-11-21,2016-11-21,114.92
2016-11-22,2016-11-22,116.36
2016-11-23,2016-11-23,116.79
2016-11-25,2016-11-25,116.64
2016-11-28,2016-11-28,116.34
2016-11-29,2016-11-29,116.41
2016-11-30,2016-11-30,116.73
2016-12-01,2016-12-01,118.49
2016-12-02,2016-12-02,116.89
2016-12-05,2016-12-05,118.56
2016-12-06,2016-12-06,116.89
2016-12-07,2016-12-07,118.81
2016-12-08,2016-12-08,119.61
2016-12-09,2016-12-09,120.5
2016-12-12,2016-12-12,121.47
2016-12-13,2016-12-13,122.22
2016-12-14,2016-12-14,121.05
2016-12-15,2016-12-15,122.04
2016-12-16,2016-12-16,120.27
2016-12-19,2016-12-19,120.57
2016-12-20,2016-12-20,120.42
2016-12-21,2016-12-21,119.37
2016-12-22,2016-12-22,118.59
2016-12-23,2016-12-23,118.76
2016-12-27,2016-12-27,119.21
2016-12-28,2016-12-28,118.0
2016-12-29,2016-12-29,117.71
2016-12-30,2016-12-30,117.22
2017-01-03,2017-01-03,118.04
2017-01-04,2017-01-04,118.79
2017-01-05,2017-01-05,118.61
2017-01-06,2017-01-06,118.92
2017-01-09,2017-01-09,118.84
2017-01-10,2017-01-10,117.86
2017-01-11,2017-01-11,118.32
2017-01-12,2017-01-12,118.64
2017-01-13,2017-01-13,118.57
2017-01-17,2017-01-17,118.68
2017-01-18,2017-01-18,119.07
2017-01-19,2017-01-19,118.85
2017-01-20,2017-01-20,118.4
2017-01-23,2017-01-23,119.35
2017-01-24,2017-01-24,121.65
2017-01-25,2017-01-25,122.49
2017-01-26,2017-01-26,120.95
2017-01-27,2017-01-27,121.29
2017-01-30,2017-01-30,121.49
2017-01-31,2017-01-31,120.13
2017-02-01,2017-02-01,120.78
2017-02-02,2017-02-02,120.21
2017-02-03,2017-02-03,120.75
2017-02-06,2017-02-06,119.7
2017-02-07,2017-02-07,120.25
2017-02-08,2017-02-08,120.34
2017-02-09,2017-02-09,120.61
2017-02-10,2017-02-10,121.2
2017-02-13,2017-02-13,121.76
2017-02-14,2017-02-14,122.84
2017-02-15,2017-02-15,123.4
2017-02-16,2017-02-16,123.28
2017-02-17,2017-02-17,123.95
2017-02-21,2017-02-21,124.03
2017-02-22,2017-02-22,123.1
2017-02-23,2017-02-23,122.76
2017-02-24,2017-02-24,125.5
2017-02-27,2017-02-27,123.84
2017-02-28,2017-02-28,123.97
2017-03-01,2017-03-01,125.87
2017-03-02,2017-03-02,125.09
2017-03-03,2017-03-03,125.25
2017-03-06,2017-03-06,125.06
2017-03-07,2017-03-07,124.72
2017-03-08,2017-03-08,124.5
2017-03-09,2017-03-09,123.69
2017-03-10,2017-03-10,124.25
2017-03-13,2017-03-13,124.77
2017-03-14,2017-03-14,123.68
2017-03-15,2017-03-15,125.37
2017-03-16,2017-03-16,125.19
2017-03-17,2017-03-17,125.41
2017-03-20,2017-03-20,125.13
2017-03-21,2017-03-21,124.2
2017-03-22,2017-03-22,124.24
2017-03-23,2017-03-23,124.18
2017-03-24,2017-03-24,123.83
2017-03-27,2017-03-27,124.11
2017-03-28,2017-03-28,124.87
2017-03-29,2017-03-29,124.78
2017-03-30,2017-03-30,125.34
2017-03-31,2017-03-31,125.34
2017-04-03,2017-04-03,125.88
2017-04-04,2017-04-04,125.06
2017-04-05,2017-04-05,124.83
2017-04-06,2017-04-06,125.21
2017-04-07,2017-04-07,125.25
2017-04-10,2017-04-10,125.87
2017-04-11,2017-04-11,125.66
2017-04-12,2017-04-12,124.96
2017-04-13,2017-04-13,124.47
2017-04-17,2017-04-17,125.42
2017-04-18,2017-04-18,125.31
2017-04-19,2017-04-19,125.71
2017-04-20,2017-04-20,126.35
2017-04-21,2017-04-21,126.2
2017-04-24,2017-04-24,127.3
2017-04-25,2017-04-25,128.25
2017-04-26,2017-04-26,128.8
2017-04-27,2017-04-27,129.37
2017-04-28,2017-04-28,129.09
2017-05-01,2017-05-01,129.25
2017-05-02,2017-05-02,125.26
2017-05-03,2017-05-03,125.57
2017-05-04,2017-05-04,126.22
2017-05-05,2017-05-05,126.47
2017-05-08,2017-05-08,125.95
2017-05-09,2017-05-09,125.61
2017-05-10,2017-05-10,126.66
2017-05-11,2017-05-11,126.73
2017-05-12,2017-05-12,126.51
2017-05-15,2017-05-15,127.27
2017-05-16,2017-05-16,127.38
2017-05-17,2017-05-17,126.39
2017-05-18,2017-05-18,126.74
2017-05-19,2017-05-19,127.09
2017-05-22,2017-05-22,127.82
2017-05-23,2017-05-23,128.05
2017-05-24,2017-05-24,129.31
2017-05-25,2017-05-25,130.31
2017-05-26,2017-05-26,131.3
2017-05-30,2017-05-30,131.56
2017-05-31,2017-05-31,132.84
2017-06-01,2017-06-01,133.78
2017-06-02,2017-06-02,134.33
2017-06-05,2017-06-05,133.66
2017-06-06,2017-06-06,133.35
2017-06-07,2017-06-07,133.52
2017-06-08,2017-06-08,132.73
2017-06-09,2017-06-09,133.81
2017-06-12,2017-06-12,133.18
2017-06-13,2017-06-13,134.49
2017-06-14,2017-06-14,133.88
2017-06-15,2017-06-15,133.85
2017-06-16,2017-06-16,134.28
2017-06-19,2017-06-19,134.61
2017-06-20,2017-06-20,134.11
2017-06-21,2017-06-21,132.14
2017-06-22,2017-06-22,131.68
2017-06-23,2017-06-23,131.66
2017-06-26,2017-06-26,132.02
2017-06-27,2017-06-27,131.78
2017-06-28,2017-06-28,132.9
2017-06-29,2017-06-29,131.45
2017-06-30,2017-06-30,132.75
2017-07-03,2017-07-03,132.94
2017-07-05,2017-07-05,133.27
2017-07-06,2017-07-06,132.18
2017-07-07,2017-07-07,132.62
2017-07-10,2017-07-10,132.05
2017-07-11,2017-07-11,131.89
2017-07-12,2017-07-12,133.04
2017-07-13,2017-07-13,132.06
2017-07-14,2017-07-14,132.72
2017-07-17,2017-07-17,132.17
2017-07-18,2017-07-18,132.45
2017-07-19,2017-07-19,133.05
2017-07-20,2017-07-20,132.45
2017-07-21,2017-07-21,133.05
2017-07-24,2017-07-24,132.04
2017-07-25,2017-07-25,132.9
2017-07-26,2017-07-26,132.45
