DATE,DATE,CLOSE
2017-05-11,2017-05-11,83.59
2017-05-12,2017-05-12,83.35
2017-05-15,2017-05-15,84.17
2017-05-16,2017-05-16,84.31
2017-05-17,2017-05-17,82.64
2017-05-18,2017-05-18,82.5
2017-05-19,2017-05-19,82.76
2017-05-22,2017-05-22,83.19
2017-05-23,2017-05-23,82.8
2017-05-24,2017-05-24,82.82
2017-05-25,2017-05-25,83.83
2017-05-26,2017-05-26,84.29
2017-05-30,2017-05-30,84.42
2017-05-31,2017-05-31,84.26
2017-06-01,2017-06-01,85.75
2017-06-02,2017-06-02,84.75
2017-06-05,2017-06-05,84.13
2017-06-06,2017-06-06,83.71
2017-06-07,2017-06-07,83.59
2017-06-08,2017-06-08,83.28
2017-06-09,2017-06-09,84.09
2017-06-12,2017-06-12,84.45
2017-06-13,2017-06-13,85.48
2017-06-14,2017-06-14,85.45
2017-06-15,2017-06-15,85.55
2017-06-16,2017-06-16,85.65
2017-06-19,2017-06-19,86.67
2017-06-20,2017-06-20,87.92
2017-06-21,2017-06-21,87.73
2017-06-22,2017-06-22,87.55
2017-06-23,2017-06-23,88.05
2017-06-26,2017-06-26,88.17
2017-06-27,2017-06-27,88.07
2017-06-28,2017-06-28,88.78
2017-06-29,2017-06-29,88.14
2017-06-30,2017-06-30,88.37
2017-07-03,2017-07-03,88.87
2017-07-05,2017-07-05,88.82
2017-07-06,2017-07-06,89.18
2017-07-07,2017-07-07,90.78
2017-07-10,2017-07-10,91.43
2017-07-11,2017-07-11,91.75
2017-07-12,2017-07-12,93.22
2017-07-13,2017-07-13,93.08
2017-07-14,2017-07-14,94.02
2017-07-17,2017-07-17,93.98
2017-07-18,2017-07-18,93.4
2017-07-19,2017-07-19,94.07
2017-07-20,2017-07-20,94.06
2017-07-21,2017-07-21,93.89
2017-07-24,2017-07-24,93.96
2017-07-25,2017-07-25,91.27
2017-07-26,2017-07-26,92.34
2017-07-27,2017-07-27,91.82
2017-07-28,2017-07-28,92.03
2017-07-31,2017-07-31,92.93
2017-08-01,2017-08-01,93.44
2017-08-02,2017-08-02,94.08
2017-08-03,2017-08-03,93.27
2017-08-04,2017-08-04,93.05
2017-08-07,2017-08-07,93.54
2017-08-08,2017-08-08,93.4
2017-08-09,2017-08-09,92.89
2017-08-10,2017-08-10,91.93
2017-08-11,2017-08-11,93.02
2017-08-14,2017-08-14,93.68
2017-08-15,2017-08-15,93.52
2017-08-16,2017-08-16,94.65
2017-08-17,2017-08-17,93.16
2017-08-18,2017-08-18,93.04
2017-08-21,2017-08-21,92.81
2017-08-22,2017-08-22,93.19
2017-08-23,2017-08-23,93.04
2017-08-24,2017-08-24,92.96
2017-08-25,2017-08-25,93.67
2017-08-28,2017-08-28,93.3
2017-08-29,2017-08-29,93.45
2017-08-30,2017-08-30,94.03
2017-08-31,2017-08-31,94.26
2017-09-01,2017-09-01,95.01
2017-09-05,2017-09-05,94.8
2017-09-06,2017-09-06,93.09
2017-09-07,2017-09-07,92.67
2017-09-08,2017-09-08,93.19
2017-09-11,2017-09-11,94.18
2017-09-12,2017-09-12,95.23
2017-09-13,2017-09-13,95.01
2017-09-14,2017-09-14,95.76
2017-09-15,2017-09-15,96.83
2017-09-18,2017-09-18,98.91
2017-09-19,2017-09-19,98.5
2017-09-20,2017-09-20,98.88
2017-09-21,2017-09-21,98.82
2017-09-22,2017-09-22,98.76
2017-09-25,2017-09-25,98.89
2017-09-26,2017-09-26,98.61
2017-09-27,2017-09-27,99.4
2017-09-28,2017-09-28,99.93
2017-09-29,2017-09-29,98.34
2017-10-02,2017-10-02,99.42
2017-10-03,2017-10-03,99.26
2017-10-04,2017-10-04,99.71
2017-10-05,2017-10-05,99.89
2017-10-06,2017-10-06,100.34
2017-10-09,2017-10-09,100.71
2017-10-10,2017-10-10,100.79
2017-10-11,2017-10-11,101.21
2017-10-12,2017-10-12,100.8
2017-10-13,2017-10-13,101.94
2017-10-16,2017-10-16,102.18
2017-10-17,2017-10-17,101.58
2017-10-18,2017-10-18,100.51
2017-10-19,2017-10-19,98.79
2017-10-20,2017-10-20,99.71
2017-10-23,2017-10-23,99.01
2017-10-24,2017-10-24,98.91
2017-10-25,2017-10-25,104.05
2017-10-26,2017-10-26,104.86
2017-10-27,2017-10-27,106.11
2017-10-30,2017-10-30,105.32
2017-10-31,2017-10-31,106.17
2017-11-01,2017-11-01,107.03
2017-11-02,2017-11-02,108.44
2017-11-03,2017-11-03,108.09
2017-11-06,2017-11-06,107.07
2017-11-07,2017-11-07,107.04
2017-11-08,2017-11-08,107.75
2017-11-09,2017-11-09,105.76
2017-11-10,2017-11-10,105.19
2017-11-13,2017-11-13,107.94
2017-11-14,2017-11-14,108.17
2017-11-15,2017-11-15,107.7
2017-11-16,2017-11-16,108.25
2017-11-17,2017-11-17,108.29
2017-11-20,2017-11-20,110.7
2017-11-21,2017-11-21,110.42
2017-11-22,2017-11-22,111.1
2017-11-24,2017-11-24,111.7
2017-11-27,2017-11-27,111.92
2017-11-28,2017-11-28,112.0
2017-11-29,2017-11-29,111.88
2017-11-30,2017-11-30,114.12
2017-12-01,2017-12-01,112.63
2017-12-04,2017-12-04,112.02
2017-12-05,2017-12-05,113.21
2017-12-06,2017-12-06,111.51
2017-12-07,2017-12-07,112.35
2017-12-08,2017-12-08,113.73
2017-12-11,2017-12-11,114.98
2017-12-12,2017-12-12,114.46
2017-12-13,2017-12-13,114.37
2017-12-14,2017-12-14,114.28
2017-12-15,2017-12-15,115.91
2017-12-18,2017-12-18,116.12
2017-12-19,2017-12-19,117.1
2017-12-20,2017-12-20,116.68
2017-12-21,2017-12-21,114.02
2017-12-22,2017-12-22,114.17
2017-12-26,2017-12-26,114.82
2017-12-27,2017-12-27,115.14
2017-12-28,2017-12-28,115.57
2017-12-29,2017-12-29,114.86
2018-01-02,2018-01-02,115.68
2018-01-03,2018-01-03,116.01
2018-01-04,2018-01-04,116.78
2018-01-05,2018-01-05,118.16
2018-01-08,2018-01-08,118.6
2018-01-09,2018-01-09,118.91
2018-01-10,2018-01-10,118.59
2018-01-11,2018-01-11,119.57
2018-01-12,2018-01-12,119.35
2018-01-16,2018-01-16,117.38
2018-01-17,2018-01-17,118.88
2018-01-18,2018-01-18,120.63
2018-01-19,2018-01-19,121.34
2018-01-22,2018-01-22,120.73
2018-01-23,2018-01-23,119.74
2018-01-24,2018-01-24,120.06
2018-01-25,2018-01-25,120.96
2018-01-26,2018-01-26,121.02
2018-01-29,2018-01-29,118.67
2018-01-30,2018-01-30,117.33
2018-01-31,2018-01-31,122.68
2018-02-01,2018-02-01,120.36
2018-02-02,2018-02-02,117.63
2018-02-05,2018-02-05,113.81
2018-02-06,2018-02-06,114.24
2018-02-07,2018-02-07,114.78
2018-02-08,2018-02-08,110.77
2018-02-09,2018-02-09,111.46
2018-02-12,2018-02-12,115.65
2018-02-13,2018-02-13,116.88
2018-02-14,2018-02-14,118.12
2018-02-15,2018-02-15,119.53
2018-02-16,2018-02-16,118.8
2018-02-20,2018-02-20,117.08
2018-02-21,2018-02-21,116.92
2018-02-22,2018-02-22,118.24
2018-02-23,2018-02-23,119.13
2018-02-26,2018-02-26,120.11
2018-02-27,2018-02-27,118.91
2018-02-28,2018-02-28,118.15
2018-03-01,2018-03-01,115.94
2018-03-02,2018-03-02,115.16
2018-03-05,2018-03-05,114.79
2018-03-06,2018-03-06,114.52
2018-03-07,2018-03-07,115.79
2018-03-08,2018-03-08,115.5
2018-03-09,2018-03-09,117.33
2018-03-12,2018-03-12,116.52
2018-03-13,2018-03-13,115.91
2018-03-14,2018-03-14,114.83
2018-03-15,2018-03-15,114.15
2018-03-16,2018-03-16,111.63
2018-03-19,2018-03-19,110.82
2018-03-20,2018-03-20,110.76
2018-03-21,2018-03-21,110.14
2018-03-22,2018-03-22,105.92
2018-03-23,2018-03-23,103.06
2018-03-26,2018-03-26,105.76
2018-03-27,2018-03-27,104.45
2018-03-28,2018-03-28,104.05
2018-03-29,2018-03-29,106.25
2018-04-02,2018-04-02,103.87
2018-04-03,2018-04-03,104.56
2018-04-04,2018-04-04,106.21
2018-04-05,2018-04-05,106.07
2018-04-06,2018-04-06,103.2
2018-04-09,2018-04-09,103.9
2018-04-10,2018-04-10,106.35
2018-04-11,2018-04-11,105.29
2018-04-12,2018-04-12,105.49
2018-04-13,2018-04-13,104.8
2018-04-16,2018-04-16,105.98
2018-04-17,2018-04-17,107.68
2018-04-18,2018-04-18,108.2
2018-04-19,2018-04-19,107.69
2018-04-20,2018-04-20,107.12
2018-04-23,2018-04-23,107.01
2018-04-24,2018-04-24,105.4
2018-04-25,2018-04-25,106.67
2018-04-26,2018-04-26,106.21
2018-04-27,2018-04-27,104.85
2018-04-30,2018-04-30,104.81
2018-05-01,2018-05-01,105.47
