DATE,DATE,CLOSE
2016-11-01,2016-11-01,58.4
2016-11-02,2016-11-02,59.74
2016-11-03,2016-11-03,59.55
2016-11-04,2016-11-04,60.6
2016-11-07,2016-11-07,61.12
2016-11-08,2016-11-08,61.0
2016-11-09,2016-11-09,61.19
2016-11-10,2016-11-10,61.08
2016-11-11,2016-11-11,60.22
2016-11-14,2016-11-14,58.68
2016-11-15,2016-11-15,59.97
2016-11-16,2016-11-16,60.57
2016-11-17,2016-11-17,60.95
2016-11-18,2016-11-18,60.16
2016-11-21,2016-11-21,59.88
2016-11-22,2016-11-22,59.85
2016-11-23,2016-11-23,60.51
2016-11-25,2016-11-25,60.75
2016-11-28,2016-11-28,60.44
2016-11-29,2016-11-29,60.47
2016-11-30,2016-11-30,58.18
2016-12-01,2016-12-01,57.46
2016-12-02,2016-12-02,56.91
2016-12-05,2016-12-05,57.27
2016-12-06,2016-12-06,57.92
2016-12-07,2016-12-07,58.08
2016-12-08,2016-12-08,58.8
2016-12-09,2016-12-09,59.02
2016-12-12,2016-12-12,59.25
2016-12-13,2016-12-13,59.82
2016-12-14,2016-12-14,59.67
2016-12-15,2016-12-15,60.4
2016-12-16,2016-12-16,60.08
2016-12-19,2016-12-19,59.68
2016-12-20,2016-12-20,59.94
2016-12-21,2016-12-21,59.78
2016-12-22,2016-12-22,59.13
2016-12-23,2016-12-23,59.24
2016-12-27,2016-12-27,59.07
2016-12-28,2016-12-28,58.15
2016-12-29,2016-12-29,58.25
2016-12-30,2016-12-30,57.73
2017-01-03,2017-01-03,58.62
2017-01-04,2017-01-04,59.1
2017-01-05,2017-01-05,58.33
2017-01-06,2017-01-06,58.29
2017-01-09,2017-01-09,58.47
2017-01-10,2017-01-10,58.17
2017-01-11,2017-01-11,57.65
2017-01-12,2017-01-12,57.0
2017-01-13,2017-01-13,57.82
2017-01-17,2017-01-17,58.17
2017-01-18,2017-01-18,56.55
2017-01-19,2017-01-19,55.67
2017-01-20,2017-01-20,56.01
2017-01-23,2017-01-23,55.59
2017-01-24,2017-01-24,56.21
2017-01-25,2017-01-25,56.91
2017-01-26,2017-01-26,56.6
2017-01-27,2017-01-27,56.57
2017-01-30,2017-01-30,56.34
2017-01-31,2017-01-31,56.7
2017-02-01,2017-02-01,56.9
2017-02-02,2017-02-02,56.52
2017-02-03,2017-02-03,57.14
2017-02-06,2017-02-06,57.26
2017-02-07,2017-02-07,57.43
2017-02-08,2017-02-08,57.32
2017-02-09,2017-02-09,58.61
2017-02-10,2017-02-10,58.39
2017-02-13,2017-02-13,58.84
2017-02-14,2017-02-14,59.74
2017-02-15,2017-02-15,60.375
2017-02-16,2017-02-16,60.74
2017-02-17,2017-02-17,62.68
2017-02-21,2017-02-21,62.5
2017-02-22,2017-02-22,62.34
2017-02-23,2017-02-23,62.45
2017-02-24,2017-02-24,62.79
2017-02-27,2017-02-27,62.19
2017-02-28,2017-02-28,63.52
2017-03-01,2017-03-01,64.5
2017-03-02,2017-03-02,63.65
2017-03-03,2017-03-03,63.36
2017-03-06,2017-03-06,62.75
2017-03-07,2017-03-07,62.55
2017-03-08,2017-03-08,62.69
2017-03-09,2017-03-09,62.82
2017-03-10,2017-03-10,63.4
2017-03-13,2017-03-13,63.94
2017-03-14,2017-03-14,63.66
2017-03-15,2017-03-15,63.52
2017-03-16,2017-03-16,63.1
2017-03-17,2017-03-17,63.26
2017-03-20,2017-03-20,62.75
2017-03-21,2017-03-21,62.4
2017-03-22,2017-03-22,62.65
2017-03-23,2017-03-23,62.32
2017-03-24,2017-03-24,62.44
2017-03-27,2017-03-27,62.56
2017-03-28,2017-03-28,62.94
2017-03-29,2017-03-29,62.94
2017-03-30,2017-03-30,62.65
2017-03-31,2017-03-31,62.44
2017-04-03,2017-04-03,62.64
2017-04-04,2017-04-04,61.78
2017-04-05,2017-04-05,61.99
2017-04-06,2017-04-06,63.04
2017-04-07,2017-04-07,62.46
2017-04-10,2017-04-10,62.65
2017-04-11,2017-04-11,62.68
2017-04-12,2017-04-12,61.99
2017-04-13,2017-04-13,61.8
2017-04-17,2017-04-17,62.41
2017-04-18,2017-04-18,62.13
2017-04-19,2017-04-19,62.35
2017-04-20,2017-04-20,62.68
2017-04-21,2017-04-21,62.53
2017-04-24,2017-04-24,63.33
2017-04-25,2017-04-25,62.98
2017-04-26,2017-04-26,63.3
2017-04-27,2017-04-27,63.47
2017-04-28,2017-04-28,63.24
2017-05-01,2017-05-01,63.02
2017-05-02,2017-05-02,63.25
2017-05-03,2017-05-03,63.81
2017-05-04,2017-05-04,65.32
2017-05-05,2017-05-05,65.59
2017-05-08,2017-05-08,65.43
2017-05-09,2017-05-09,63.25
2017-05-10,2017-05-10,62.52
2017-05-11,2017-05-11,62.7
2017-05-12,2017-05-12,61.65
2017-05-15,2017-05-15,62.05
2017-05-16,2017-05-16,62.16
2017-05-17,2017-05-17,61.35
2017-05-18,2017-05-18,61.66
2017-05-19,2017-05-19,61.62
2017-05-22,2017-05-22,62.59
2017-05-23,2017-05-23,63.15
2017-05-24,2017-05-24,62.73
2017-05-25,2017-05-25,63.07
2017-05-26,2017-05-26,62.72
2017-05-30,2017-05-30,62.62
2017-05-31,2017-05-31,63.52
2017-06-01,2017-06-01,64.06
2017-06-02,2017-06-02,64.45
2017-06-05,2017-06-05,63.9
2017-06-06,2017-06-06,63.55
2017-06-07,2017-06-07,63.6
2017-06-08,2017-06-08,63.45
2017-06-09,2017-06-09,63.34
2017-06-12,2017-06-12,62.75
2017-06-13,2017-06-13,63.28
2017-06-14,2017-06-14,63.73
2017-06-15,2017-06-15,63.31
2017-06-16,2017-06-16,63.7
2017-06-19,2017-06-19,63.98
2017-06-20,2017-06-20,63.35
2017-06-21,2017-06-21,63.77
2017-06-22,2017-06-22,63.83
2017-06-23,2017-06-23,63.84
2017-06-26,2017-06-26,64.07
2017-06-27,2017-06-27,64.43
2017-06-28,2017-06-28,65.25
2017-06-29,2017-06-29,64.53
2017-06-30,2017-06-30,64.84
2017-07-03,2017-07-03,64.63
2017-07-05,2017-07-05,65.08
2017-07-06,2017-07-06,64.29
2017-07-07,2017-07-07,64.6
2017-07-10,2017-07-10,64.24
2017-07-11,2017-07-11,64.1
2017-07-12,2017-07-12,64.4
2017-07-13,2017-07-13,64.89
2017-07-14,2017-07-14,65.11
2017-07-17,2017-07-17,65.06
2017-07-18,2017-07-18,65.0
2017-07-19,2017-07-19,64.61
2017-07-20,2017-07-20,63.03
2017-07-21,2017-07-21,62.92
2017-07-24,2017-07-24,62.69
2017-07-25,2017-07-25,63.05
2017-07-26,2017-07-26,63.17
2017-07-27,2017-07-27,62.91
2017-07-28,2017-07-28,62.65
2017-07-31,2017-07-31,62.03
2017-08-01,2017-08-01,61.52
2017-08-02,2017-08-02,61.16
2017-08-03,2017-08-03,61.35
2017-08-04,2017-08-04,61.59
2017-08-07,2017-08-07,62.34
2017-08-08,2017-08-08,61.41
2017-08-09,2017-08-09,56.23
2017-08-10,2017-08-10,55.5
2017-08-11,2017-08-11,55.33
2017-08-14,2017-08-14,54.29
2017-08-15,2017-08-15,53.76
2017-08-16,2017-08-16,53.48
2017-08-17,2017-08-17,53.17
2017-08-18,2017-08-18,52.85
2017-08-21,2017-08-21,52.79
2017-08-22,2017-08-22,53.69
2017-08-23,2017-08-23,53.22
2017-08-24,2017-08-24,54.62
2017-08-25,2017-08-25,54.8
2017-08-28,2017-08-28,55.16
2017-08-29,2017-08-29,55.7
2017-08-30,2017-08-30,55.67
2017-08-31,2017-08-31,56.57
2017-09-01,2017-09-01,56.66
2017-09-05,2017-09-05,56.49
2017-09-06,2017-09-06,56.94
2017-09-07,2017-09-07,57.83
2017-09-08,2017-09-08,58.44
2017-09-11,2017-09-11,59.24
2017-09-12,2017-09-12,59.44
2017-09-13,2017-09-13,59.14
2017-09-14,2017-09-14,58.12
2017-09-15,2017-09-15,59.34
2017-09-18,2017-09-18,58.71
2017-09-19,2017-09-19,57.85
2017-09-20,2017-09-20,58.65
2017-09-21,2017-09-21,57.81
2017-09-22,2017-09-22,58.53
2017-09-25,2017-09-25,59.16
2017-09-26,2017-09-26,59.55
2017-09-27,2017-09-27,59.77
2017-09-28,2017-09-28,59.23
2017-09-29,2017-09-29,59.81
2017-10-02,2017-10-02,56.33
2017-10-03,2017-10-03,55.65
2017-10-04,2017-10-04,57.21
2017-10-05,2017-10-05,58.98
2017-10-06,2017-10-06,58.51
2017-10-09,2017-10-09,58.09
2017-10-10,2017-10-10,57.57
2017-10-11,2017-10-11,57.32
2017-10-12,2017-10-12,58.41
2017-10-13,2017-10-13,58.22
2017-10-16,2017-10-16,59.19
2017-10-17,2017-10-17,59.5
2017-10-18,2017-10-18,59.5
2017-10-19,2017-10-19,60.67
2017-10-20,2017-10-20,61.84
2017-10-23,2017-10-23,61.82
2017-10-24,2017-10-24,61.09
2017-10-25,2017-10-25,61.0
2017-10-26,2017-10-26,61.37
2017-10-27,2017-10-27,61.35
2017-10-30,2017-10-30,61.28
2017-10-31,2017-10-31,61.07
2017-11-01,2017-11-01,61.16
2017-11-02,2017-11-02,61.16
2017-11-03,2017-11-03,64.8
2017-11-06,2017-11-06,63.87
2017-11-07,2017-11-07,64.38
2017-11-08,2017-11-08,64.51
2017-11-09,2017-11-09,65.56
2017-11-10,2017-11-10,65.58
2017-11-13,2017-11-13,65.8
2017-11-14,2017-11-14,65.39
2017-11-15,2017-11-15,66.6
2017-11-16,2017-11-16,67.18
2017-11-17,2017-11-17,67.55
2017-11-20,2017-11-20,66.43
2017-11-21,2017-11-21,67.01
