DATE,DATE,CLOSE
2017-03-29,2017-03-29,45.95
2017-03-30,2017-03-30,46.27
2017-03-31,2017-03-31,45.96
2017-04-03,2017-04-03,46.32
2017-04-04,2017-04-04,45.11
2017-04-05,2017-04-05,45.08
2017-04-06,2017-04-06,45.26
2017-04-07,2017-04-07,45.17
2017-04-10,2017-04-10,44.97
2017-04-11,2017-04-11,45.29
2017-04-12,2017-04-12,45.05
2017-04-13,2017-04-13,44.03
2017-04-17,2017-04-17,44.35
2017-04-18,2017-04-18,44.41
2017-04-19,2017-04-19,45.08
2017-04-20,2017-04-20,45.93
2017-04-21,2017-04-21,45.53
2017-04-24,2017-04-24,46.81
2017-04-25,2017-04-25,46.73
2017-04-26,2017-04-26,46.37
2017-04-27,2017-04-27,45.74
2017-04-28,2017-04-28,45.44
2017-05-01,2017-05-01,45.4
2017-05-02,2017-05-02,47.83
2017-05-03,2017-05-03,48.31
2017-05-04,2017-05-04,48.64
2017-05-05,2017-05-05,48.7
2017-05-08,2017-05-08,48.52
2017-05-09,2017-05-09,49.56
2017-05-10,2017-05-10,49.97
2017-05-11,2017-05-11,49.69
2017-05-12,2017-05-12,48.99
2017-05-15,2017-05-15,49.51
2017-05-16,2017-05-16,49.51
2017-05-17,2017-05-17,47.74
2017-05-18,2017-05-18,47.66
2017-05-19,2017-05-19,48.2
2017-05-22,2017-05-22,48.49
2017-05-23,2017-05-23,48.59
2017-05-24,2017-05-24,48.87
2017-05-25,2017-05-25,50.4
2017-05-26,2017-05-26,50.8
2017-05-30,2017-05-30,49.06
2017-05-31,2017-05-31,49.13
2017-06-01,2017-06-01,49.85
2017-06-02,2017-06-02,51.19
2017-06-05,2017-06-05,51.39
2017-06-06,2017-06-06,51.23
2017-06-07,2017-06-07,52.27
2017-06-08,2017-06-08,52.84
2017-06-09,2017-06-09,53.01
2017-06-12,2017-06-12,52.25
2017-06-13,2017-06-13,51.87
2017-06-14,2017-06-14,51.91
2017-06-15,2017-06-15,51.56
2017-06-16,2017-06-16,52.0
2017-06-19,2017-06-19,52.51
2017-06-20,2017-06-20,51.76
2017-06-21,2017-06-21,52.27
2017-06-22,2017-06-22,52.81
2017-06-23,2017-06-23,52.92
2017-06-26,2017-06-26,52.87
2017-06-27,2017-06-27,52.84
2017-06-28,2017-06-28,53.84
2017-06-29,2017-06-29,53.87
2017-06-30,2017-06-30,53.74
2017-07-03,2017-07-03,54.06
2017-07-05,2017-07-05,54.33
2017-07-06,2017-07-06,54.37
2017-07-07,2017-07-07,55.46
2017-07-10,2017-07-10,54.81
2017-07-11,2017-07-11,54.28
2017-07-12,2017-07-12,55.48
2017-07-13,2017-07-13,54.5
2017-07-14,2017-07-14,55.13
2017-07-17,2017-07-17,54.64
2017-07-18,2017-07-18,53.96
2017-07-19,2017-07-19,53.79
2017-07-20,2017-07-20,52.83
2017-07-21,2017-07-21,52.26
2017-07-24,2017-07-24,51.53
2017-07-25,2017-07-25,51.14
2017-07-26,2017-07-26,51.13
2017-07-27,2017-07-27,50.08
2017-07-28,2017-07-28,50.33
2017-07-31,2017-07-31,49.36
2017-08-01,2017-08-01,50.07
2017-08-02,2017-08-02,50.01
2017-08-03,2017-08-03,50.57
2017-08-04,2017-08-04,50.61
2017-08-07,2017-08-07,50.75
2017-08-08,2017-08-08,50.31
2017-08-09,2017-08-09,49.67
2017-08-10,2017-08-10,49.04
2017-08-11,2017-08-11,49.48
2017-08-14,2017-08-14,50.07
2017-08-15,2017-08-15,49.92
2017-08-16,2017-08-16,50.13
2017-08-17,2017-08-17,47.53
2017-08-18,2017-08-18,47.53
2017-08-21,2017-08-21,47.81
2017-08-22,2017-08-22,47.15
2017-08-23,2017-08-23,46.18
2017-08-24,2017-08-24,45.21
2017-08-25,2017-08-25,46.68
2017-08-28,2017-08-28,46.95
2017-08-29,2017-08-29,46.62
2017-08-30,2017-08-30,46.83
2017-08-31,2017-08-31,47.19
2017-09-01,2017-09-01,47.52
2017-09-05,2017-09-05,45.84
2017-09-06,2017-09-06,47.39
2017-09-07,2017-09-07,47.12
2017-09-08,2017-09-08,47.45
2017-09-11,2017-09-11,48.82
2017-09-12,2017-09-12,49.04
2017-09-13,2017-09-13,48.98
2017-09-14,2017-09-14,48.27
2017-09-15,2017-09-15,48.25
2017-09-18,2017-09-18,47.96
2017-09-19,2017-09-19,47.9
2017-09-20,2017-09-20,48.04
2017-09-21,2017-09-21,48.16
2017-09-22,2017-09-22,48.47
2017-09-25,2017-09-25,48.32
2017-09-26,2017-09-26,48.5
2017-09-27,2017-09-27,47.72
2017-09-28,2017-09-28,48.31
2017-09-29,2017-09-29,48.22
2017-10-02,2017-10-02,48.07
2017-10-03,2017-10-03,51.25
2017-10-04,2017-10-04,51.56
2017-10-05,2017-10-05,51.68
2017-10-06,2017-10-06,52.01
2017-10-09,2017-10-09,51.74
2017-10-10,2017-10-10,52.7
2017-10-11,2017-10-11,53.07
2017-10-12,2017-10-12,53.11
2017-10-13,2017-10-13,53.96
2017-10-16,2017-10-16,53.62
2017-10-17,2017-10-17,52.76
2017-10-18,2017-10-18,52.86
2017-10-19,2017-10-19,52.27
2017-10-20,2017-10-20,53.27
2017-10-23,2017-10-23,52.28
2017-10-24,2017-10-24,53.18
2017-10-25,2017-10-25,52.24
2017-10-26,2017-10-26,50.93
2017-10-27,2017-10-27,50.56
2017-10-30,2017-10-30,50.33
2017-10-31,2017-10-31,50.03
2017-11-01,2017-11-01,50.35
2017-11-02,2017-11-02,50.34
2017-11-03,2017-11-03,50.4
2017-11-06,2017-11-06,50.57
2017-11-07,2017-11-07,49.91
2017-11-08,2017-11-08,50.06
2017-11-09,2017-11-09,49.19
2017-11-10,2017-11-10,48.89
2017-11-13,2017-11-13,48.86
2017-11-14,2017-11-14,48.9
2017-11-15,2017-11-15,49.33
2017-11-16,2017-11-16,50.45
2017-11-17,2017-11-17,49.82
2017-11-20,2017-11-20,49.79
2017-11-21,2017-11-21,50.67
2017-11-22,2017-11-22,50.41
2017-11-24,2017-11-24,50.11
2017-11-27,2017-11-27,49.59
2017-11-28,2017-11-28,50.58
2017-11-29,2017-11-29,52.1
2017-11-30,2017-11-30,52.92
2017-12-01,2017-12-01,52.06
2017-12-04,2017-12-04,52.91
2017-12-05,2017-12-05,52.39
2017-12-06,2017-12-06,52.3
2017-12-07,2017-12-07,53.41
2017-12-08,2017-12-08,53.46
2017-12-11,2017-12-11,54.37
2017-12-12,2017-12-12,53.62
2017-12-13,2017-12-13,53.63
2017-12-14,2017-12-14,55.25
2017-12-15,2017-12-15,56.1
2017-12-18,2017-12-18,56.07
2017-12-19,2017-12-19,55.75
2017-12-20,2017-12-20,56.22
2017-12-21,2017-12-21,56.03
2017-12-22,2017-12-22,56.03
2017-12-26,2017-12-26,56.43
2017-12-27,2017-12-27,56.12
2017-12-28,2017-12-28,56.35
2017-12-29,2017-12-29,56.0
2018-01-02,2018-01-02,56.74
2018-01-03,2018-01-03,55.69
2018-01-04,2018-01-04,55.69
2018-01-05,2018-01-05,55.97
2018-01-08,2018-01-08,54.68
2018-01-09,2018-01-09,54.17
2018-01-10,2018-01-10,55.86
2018-01-11,2018-01-11,58.52
2018-01-12,2018-01-12,59.83
2018-01-16,2018-01-16,59.35
2018-01-17,2018-01-17,59.72
2018-01-18,2018-01-18,59.45
2018-01-19,2018-01-19,60.01
2018-01-22,2018-01-22,60.13
2018-01-23,2018-01-23,59.93
2018-01-24,2018-01-24,56.8
2018-01-25,2018-01-25,54.81
2018-01-26,2018-01-26,55.26
2018-01-29,2018-01-29,55.76
2018-01-30,2018-01-30,56.12
2018-01-31,2018-01-31,56.77
2018-02-01,2018-02-01,56.42
2018-02-02,2018-02-02,54.62
2018-02-05,2018-02-05,52.52
2018-02-06,2018-02-06,53.1
2018-02-07,2018-02-07,53.85
2018-02-08,2018-02-08,51.23
2018-02-09,2018-02-09,50.46
2018-02-12,2018-02-12,52.05
2018-02-13,2018-02-13,52.17
2018-02-14,2018-02-14,52.2
2018-02-15,2018-02-15,52.95
2018-02-16,2018-02-16,52.85
2018-02-20,2018-02-20,52.47
2018-02-21,2018-02-21,53.16
2018-02-22,2018-02-22,52.55
2018-02-23,2018-02-23,53.46
2018-02-26,2018-02-26,54.69
2018-02-27,2018-02-27,53.62
2018-02-28,2018-02-28,53.9
2018-03-01,2018-03-01,53.35
2018-03-02,2018-03-02,53.26
2018-03-05,2018-03-05,53.79
2018-03-06,2018-03-06,53.84
2018-03-07,2018-03-07,53.53
2018-03-08,2018-03-08,54.64
2018-03-09,2018-03-09,56.09
2018-03-12,2018-03-12,56.16
2018-03-13,2018-03-13,56.59
2018-03-14,2018-03-14,56.15
2018-03-15,2018-03-15,56.34
2018-03-16,2018-03-16,56.69
2018-03-19,2018-03-19,55.96
2018-03-20,2018-03-20,56.5
2018-03-21,2018-03-21,55.95
2018-03-22,2018-03-22,54.67
2018-03-23,2018-03-23,53.9
2018-03-26,2018-03-26,55.06
2018-03-27,2018-03-27,54.26
2018-03-28,2018-03-28,53.93
2018-03-29,2018-03-29,54.81
2018-04-02,2018-04-02,51.95
2018-04-03,2018-04-03,53.72
2018-04-04,2018-04-04,53.86
2018-04-05,2018-04-05,54.21
2018-04-06,2018-04-06,53.05
2018-04-09,2018-04-09,52.56
2018-04-10,2018-04-10,52.36
2018-04-11,2018-04-11,51.47
2018-04-12,2018-04-12,52.98
2018-04-13,2018-04-13,52.92
2018-04-16,2018-04-16,54.3
2018-04-17,2018-04-17,54.55
2018-04-18,2018-04-18,55.21
2018-04-19,2018-04-19,55.07
2018-04-20,2018-04-20,55.4
2018-04-23,2018-04-23,54.61
2018-04-24,2018-04-24,53.81
2018-04-25,2018-04-25,54.65
2018-04-26,2018-04-26,53.13
2018-04-27,2018-04-27,53.5
2018-04-30,2018-04-30,52.22
2018-05-01,2018-05-01,52.74
