DATE,DATE,CLOSE
2017-02-08,2017-02-08,81.53
2017-02-09,2017-02-09,82.38
2017-02-10,2017-02-10,83.31
2017-02-13,2017-02-13,83.43
2017-02-14,2017-02-14,83.79
2017-02-15,2017-02-15,84.25
2017-02-16,2017-02-16,85.65
2017-02-17,2017-02-17,85.86
2017-02-21,2017-02-21,86.41
2017-02-22,2017-02-22,86.29
2017-02-23,2017-02-23,86.99
2017-02-24,2017-02-24,87.61
2017-02-27,2017-02-27,87.22
2017-02-28,2017-02-28,86.38
2017-03-01,2017-03-01,86.77
2017-03-02,2017-03-02,86.74
2017-03-03,2017-03-03,85.89
2017-03-06,2017-03-06,85.88
2017-03-07,2017-03-07,85.99
2017-03-08,2017-03-08,85.16
2017-03-09,2017-03-09,85.31
2017-03-10,2017-03-10,85.63
2017-03-13,2017-03-13,85.61
2017-03-14,2017-03-14,85.4
2017-03-15,2017-03-15,85.8
2017-03-16,2017-03-16,85.67
2017-03-17,2017-03-17,85.91
2017-03-20,2017-03-20,84.63
2017-03-21,2017-03-21,83.21
2017-03-22,2017-03-22,83.03
2017-03-23,2017-03-23,82.98
2017-03-24,2017-03-24,82.97
2017-03-27,2017-03-27,83.56
2017-03-28,2017-03-28,83.74
2017-03-29,2017-03-29,83.77
2017-03-30,2017-03-30,83.31
2017-03-31,2017-03-31,83.05
2017-04-03,2017-04-03,82.95
2017-04-04,2017-04-04,82.5
2017-04-05,2017-04-05,81.17
2017-04-06,2017-04-06,81.66
2017-04-07,2017-04-07,82.33
2017-04-10,2017-04-10,82.51
2017-04-11,2017-04-11,82.68
2017-04-12,2017-04-12,82.57
2017-04-13,2017-04-13,82.48
2017-04-17,2017-04-17,83.13
2017-04-18,2017-04-18,82.82
2017-04-19,2017-04-19,83.51
2017-04-20,2017-04-20,84.14
2017-04-21,2017-04-21,84.03
2017-04-24,2017-04-24,84.28
2017-04-25,2017-04-25,85.92
2017-04-26,2017-04-26,85.92
2017-04-27,2017-04-27,85.89
2017-04-28,2017-04-28,86.54
2017-05-01,2017-05-01,86.46
2017-05-02,2017-05-02,85.81
2017-05-03,2017-05-03,85.79
2017-05-04,2017-05-04,86.05
2017-05-05,2017-05-05,85.89
2017-05-08,2017-05-08,85.84
2017-05-09,2017-05-09,85.98
2017-05-10,2017-05-10,85.62
2017-05-11,2017-05-11,85.5
2017-05-12,2017-05-12,85.25
2017-05-15,2017-05-15,84.96
2017-05-16,2017-05-16,84.51
2017-05-17,2017-05-17,81.73
2017-05-18,2017-05-18,81.45
2017-05-19,2017-05-19,80.61
2017-05-22,2017-05-22,81.34
2017-05-23,2017-05-23,81.24
2017-05-24,2017-05-24,80.58
2017-05-25,2017-05-25,80.75
2017-05-26,2017-05-26,81.25
2017-05-30,2017-05-30,80.16
2017-05-31,2017-05-31,81.02
2017-06-01,2017-06-01,82.18
2017-06-02,2017-06-02,83.1
2017-06-05,2017-06-05,83.38
2017-06-06,2017-06-06,81.45
2017-06-07,2017-06-07,81.46
2017-06-08,2017-06-08,81.47
2017-06-09,2017-06-09,80.99
2017-06-12,2017-06-12,81.81
2017-06-13,2017-06-13,81.8
2017-06-14,2017-06-14,82.88
2017-06-15,2017-06-15,82.56
2017-06-16,2017-06-16,78.44
2017-06-19,2017-06-19,79.81
2017-06-20,2017-06-20,78.3
2017-06-21,2017-06-21,78.12
2017-06-22,2017-06-22,76.37
2017-06-23,2017-06-23,76.34
2017-06-26,2017-06-26,77.53
2017-06-27,2017-06-27,77.26
2017-06-28,2017-06-28,77.09
2017-06-29,2017-06-29,78.37
2017-06-30,2017-06-30,78.31
2017-07-03,2017-07-03,78.13
2017-07-05,2017-07-05,78.64
2017-07-06,2017-07-06,77.72
2017-07-07,2017-07-07,77.47
2017-07-10,2017-07-10,77.16
2017-07-11,2017-07-11,77.29
2017-07-12,2017-07-12,77.52
2017-07-13,2017-07-13,78.01
2017-07-14,2017-07-14,78.91
2017-07-17,2017-07-17,79.18
2017-07-18,2017-07-18,78.67
2017-07-19,2017-07-19,79.56
2017-07-20,2017-07-20,79.8
2017-07-21,2017-07-21,78.9
2017-07-24,2017-07-24,79.6
2017-07-25,2017-07-25,80.06
2017-07-26,2017-07-26,78.68
2017-07-27,2017-07-27,78.78
2017-07-28,2017-07-28,79.62
2017-07-31,2017-07-31,80.67
2017-08-01,2017-08-01,81.13
2017-08-02,2017-08-02,81.03
2017-08-03,2017-08-03,81.05
2017-08-04,2017-08-04,81.06
2017-08-07,2017-08-07,81.51
2017-08-08,2017-08-08,81.08
2017-08-09,2017-08-09,81.28
2017-08-10,2017-08-10,79.75
2017-08-11,2017-08-11,80.72
2017-08-14,2017-08-14,81.53
2017-08-15,2017-08-15,81.13
2017-08-16,2017-08-16,81.26
2017-08-17,2017-08-17,80.89
2017-08-18,2017-08-18,80.03
2017-08-21,2017-08-21,80.6
2017-08-22,2017-08-22,81.28
2017-08-23,2017-08-23,81.36
2017-08-24,2017-08-24,80.5
2017-08-25,2017-08-25,81.13
2017-08-28,2017-08-28,81.16
2017-08-29,2017-08-29,81.42
2017-08-30,2017-08-30,81.78
2017-08-31,2017-08-31,81.5
2017-09-01,2017-09-01,81.22
2017-09-05,2017-09-05,81.46
2017-09-06,2017-09-06,81.76
2017-09-07,2017-09-07,81.56
2017-09-08,2017-09-08,81.39
2017-09-11,2017-09-11,82.28
2017-09-12,2017-09-12,82.74
2017-09-13,2017-09-13,82.73
2017-09-14,2017-09-14,82.01
2017-09-15,2017-09-15,82.5
2017-09-18,2017-09-18,82.6
2017-09-19,2017-09-19,81.21
2017-09-20,2017-09-20,78.84
2017-09-21,2017-09-21,78.2
2017-09-22,2017-09-22,78.41
2017-09-25,2017-09-25,78.96
2017-09-26,2017-09-26,79.08
2017-09-27,2017-09-27,78.15
2017-09-28,2017-09-28,77.52
2017-09-29,2017-09-29,77.22
2017-10-02,2017-10-02,76.6
2017-10-03,2017-10-03,76.79
2017-10-04,2017-10-04,75.83
2017-10-05,2017-10-05,76.95
2017-10-06,2017-10-06,73.2
2017-10-09,2017-10-09,70.87
2017-10-10,2017-10-10,69.85
2017-10-11,2017-10-11,68.92
2017-10-12,2017-10-12,69.0
2017-10-13,2017-10-13,67.56
2017-10-16,2017-10-16,67.31
2017-10-17,2017-10-17,67.4
2017-10-18,2017-10-18,67.74
2017-10-19,2017-10-19,67.2
2017-10-20,2017-10-20,68.06
2017-10-23,2017-10-23,67.51
2017-10-24,2017-10-24,67.29
2017-10-25,2017-10-25,69.36
2017-10-26,2017-10-26,67.11
2017-10-27,2017-10-27,64.48
2017-10-30,2017-10-30,66.26
2017-10-31,2017-10-31,66.27
2017-11-01,2017-11-01,67.01
2017-11-02,2017-11-02,66.78
2017-11-03,2017-11-03,66.87
2017-11-06,2017-11-06,65.94
2017-11-07,2017-11-07,67.92
2017-11-08,2017-11-08,68.9
2017-11-09,2017-11-09,69.54
2017-11-10,2017-11-10,70.99
2017-11-13,2017-11-13,70.37
2017-11-14,2017-11-14,70.59
2017-11-15,2017-11-15,70.2
2017-11-16,2017-11-16,71.3
2017-11-17,2017-11-17,71.25
2017-11-20,2017-11-20,70.78
2017-11-21,2017-11-21,71.16
2017-11-22,2017-11-22,71.33
2017-11-24,2017-11-24,70.28
2017-11-27,2017-11-27,69.39
2017-11-28,2017-11-28,72.24
2017-11-29,2017-11-29,71.92
2017-11-30,2017-11-30,72.76
2017-12-01,2017-12-01,71.45
2017-12-04,2017-12-04,71.57
2017-12-05,2017-12-05,70.18
2017-12-06,2017-12-06,71.05
2017-12-07,2017-12-07,69.61
2017-12-08,2017-12-08,71.55
2017-12-11,2017-12-11,71.88
2017-12-12,2017-12-12,72.01
2017-12-13,2017-12-13,71.72
2017-12-14,2017-12-14,70.36
2017-12-15,2017-12-15,71.94
2017-12-18,2017-12-18,72.55
2017-12-19,2017-12-19,72.19
2017-12-20,2017-12-20,72.72
2017-12-21,2017-12-21,73.25
2017-12-22,2017-12-22,72.71
2017-12-26,2017-12-26,73.3
2017-12-27,2017-12-27,72.86
2017-12-28,2017-12-28,72.94
2017-12-29,2017-12-29,72.62
2018-01-02,2018-01-02,74.95
2018-01-03,2018-01-03,75.51
2018-01-04,2018-01-04,71.6
2018-01-05,2018-01-05,72.92
2018-01-08,2018-01-08,73.85
2018-01-09,2018-01-09,73.42
2018-01-10,2018-01-10,74.08
2018-01-11,2018-01-11,75.38
2018-01-12,2018-01-12,76.07
2018-01-16,2018-01-16,76.03
2018-01-17,2018-01-17,75.78
2018-01-18,2018-01-18,76.0
2018-01-19,2018-01-19,76.47
2018-01-22,2018-01-22,77.4
2018-01-23,2018-01-23,77.02
2018-01-24,2018-01-24,77.33
2018-01-25,2018-01-25,78.27
2018-01-26,2018-01-26,79.15
2018-01-29,2018-01-29,80.27
2018-01-30,2018-01-30,76.13
2018-01-31,2018-01-31,75.26
2018-02-01,2018-02-01,76.06
2018-02-02,2018-02-02,73.56
2018-02-05,2018-02-05,70.43
2018-02-06,2018-02-06,71.79
2018-02-07,2018-02-07,71.53
2018-02-08,2018-02-08,68.22
2018-02-09,2018-02-09,68.46
2018-02-12,2018-02-12,68.46
2018-02-13,2018-02-13,68.29
2018-02-14,2018-02-14,68.49
2018-02-15,2018-02-15,69.78
2018-02-16,2018-02-16,70.92
2018-02-20,2018-02-20,70.91
2018-02-21,2018-02-21,69.63
2018-02-22,2018-02-22,69.67
2018-02-23,2018-02-23,70.36
2018-02-26,2018-02-26,70.6
2018-02-27,2018-02-27,69.14
2018-02-28,2018-02-28,68.89
2018-03-01,2018-03-01,70.2
2018-03-02,2018-03-02,70.58
2018-03-05,2018-03-05,70.55
2018-03-06,2018-03-06,69.79
2018-03-07,2018-03-07,69.5
2018-03-08,2018-03-08,68.97
2018-03-09,2018-03-09,70.6
2018-03-12,2018-03-12,70.15
2018-03-13,2018-03-13,69.86
2018-03-14,2018-03-14,68.55
2018-03-15,2018-03-15,67.38
2018-03-16,2018-03-16,67.57
2018-03-19,2018-03-19,66.62
2018-03-20,2018-03-20,66.05
2018-03-21,2018-03-21,66.27
2018-03-22,2018-03-22,65.83
2018-03-23,2018-03-23,65.43
2018-03-26,2018-03-26,67.47
2018-03-27,2018-03-27,65.96
2018-03-28,2018-03-28,67.59
2018-03-29,2018-03-29,65.47
2018-04-02,2018-04-02,63.1
2018-04-03,2018-04-03,63.17
2018-04-04,2018-04-04,65.51
2018-04-05,2018-04-05,64.65
2018-04-06,2018-04-06,63.47
2018-04-09,2018-04-09,62.85
2018-04-10,2018-04-10,63.76
2018-04-11,2018-04-11,64.11
2018-04-12,2018-04-12,64.04
2018-04-13,2018-04-13,63.82
2018-04-16,2018-04-16,66.22
2018-04-17,2018-04-17,65.97
2018-04-18,2018-04-18,66.26
2018-04-19,2018-04-19,65.28
2018-04-20,2018-04-20,63.92
2018-04-23,2018-04-23,64.6
2018-04-24,2018-04-24,65.0
2018-04-25,2018-04-25,65.95
2018-04-26,2018-04-26,66.74
2018-04-27,2018-04-27,67.11
2018-04-30,2018-04-30,66.45
2018-05-01,2018-05-01,65.42
