DATE,CLOSE
11/1/2016,19.66
11/2/2016,19.53
11/3/2016,19.55
11/4/2016,19.49
11/7/2016,19.98
11/8/2016,19.99
11/9/2016,20.84
11/10/2016,21.61
11/11/2016,21.67
11/14/2016,22.2
11/15/2016,22.18
11/16/2016,21.86
11/17/2016,22.16
11/18/2016,22.16
11/21/2016,22.24
11/22/2016,22.25
11/23/2016,22.38
11/25/2016,22.41
11/28/2016,22.15
11/29/2016,22.21
11/30/2016,22.51
12/1/2016,22.9
12/2/2016,22.65
12/5/2016,22.92
12/6/2016,23.12
12/7/2016,23.48
12/8/2016,23.7
12/9/2016,23.75
12/12/2016,23.52
12/13/2016,23.58
12/14/2016,23.47
12/15/2016,23.67
12/16/2016,23.36
12/19/2016,23.37
12/20/2016,23.66
12/21/2016,23.6
12/22/2016,23.54
12/23/2016,23.58
12/27/2016,23.61
12/28/2016,23.37
12/29/2016,23.2
12/30/2016,23.25
1/3/2017,23.51
1/4/2017,23.7
1/5/2017,23.46
1/6/2017,23.54
1/9/2017,23.38
1/10/2017,23.43
1/11/2017,23.58
1/12/2017,23.38
1/13/2017,23.51
1/17/2017,22.95
1/18/2017,23.14
1/19/2017,23.04
1/20/2017,23.15
1/23/2017,23
1/24/2017,23.29
1/25/2017,23.68
1/26/2017,23.74
1/27/2017,23.65
1/30/2017,23.46
1/31/2017,23.31
2/1/2017,23.34
2/2/2017,23.25
2/3/2017,23.72
2/6/2017,23.61
2/7/2017,23.55
2/8/2017,23.39
2/9/2017,23.71
2/10/2017,23.78
2/13/2017,24.05
2/14/2017,24.33
2/15/2017,24.52
2/16/2017,24.46
2/17/2017,24.47
2/21/2017,24.59
2/22/2017,24.61
2/23/2017,24.61
2/24/2017,24.42
2/27/2017,24.55
2/28/2017,24.54
3/1/2017,25.24
3/2/2017,24.85
3/3/2017,24.97
3/6/2017,24.78
3/7/2017,24.71
3/8/2017,24.72
3/9/2017,24.81
3/10/2017,24.79
3/13/2017,24.85
3/14/2017,24.78
3/15/2017,24.74
3/16/2017,24.78
3/17/2017,24.45
3/20/2017,24.271
3/21/2017,23.57
3/22/2017,23.52
3/23/2017,23.57
3/24/2017,23.54
3/27/2017,23.45
3/28/2017,23.77
3/29/2017,23.62
3/30/2017,23.93
3/31/2017,23.73
4/3/2017,23.68
4/4/2017,23.65
4/5/2017,23.47
4/6/2017,23.62
4/7/2017,23.52
4/10/2017,23.46
4/11/2017,23.39
4/12/2017,23.2
4/13/2017,22.9
4/17/2017,23.3
4/18/2017,23.08
4/19/2017,23.01
4/20/2017,23.4
4/21/2017,23.16
4/24/2017,23.68
4/25/2017,23.89
4/26/2017,23.87
4/27/2017,23.76
4/28/2017,23.53
5/1/2017,23.68
5/2/2017,23.65
5/3/2017,23.84
5/4/2017,23.88
5/5/2017,23.84
5/8/2017,23.82
5/9/2017,23.73
5/10/2017,23.81
5/11/2017,23.66
5/12/2017,23.56
5/15/2017,23.74
5/16/2017,23.81
5/17/2017,23.06
5/18/2017,23.15
5/19/2017,23.35
5/22/2017,23.41
5/23/2017,23.59
5/24/2017,23.58
5/25/2017,23.62
5/26/2017,23.61
5/30/2017,23.45
5/31/2017,23.25
6/1/2017,23.54
6/2/2017,23.45
6/5/2017,23.49
6/6/2017,23.39
6/7/2017,23.57
6/8/2017,23.84
6/9/2017,24.29
6/12/2017,24.34
6/13/2017,24.47
6/14/2017,24.51
6/15/2017,24.41
6/16/2017,24.29
6/19/2017,24.54
6/20/2017,24.33
6/21/2017,24.13
6/22/2017,23.98
6/23/2017,23.89
6/26/2017,24.02
6/27/2017,24.14
6/28/2017,24.52
6/29/2017,24.69
6/30/2017,24.67
7/3/2017,25.03
7/5/2017,25.07
7/6/2017,24.88
7/7/2017,25.05
7/10/2017,25.02
7/11/2017,24.8
7/12/2017,24.88
7/13/2017,25.03
7/14/2017,24.92
7/17/2017,24.84
7/18/2017,24.8
7/19/2017,24.81
7/20/2017,24.8
7/21/2017,24.8
7/24/2017,24.91
7/25/2017,25.22
7/26/2017,25.05
7/27/2017,24.91
7/28/2017,24.91
7/31/2017,25.09
8/1/2017,25.27
8/2/2017,25.31
8/3/2017,25.22
8/4/2017,25.39
8/7/2017,25.35
8/8/2017,25.28
8/9/2017,25.28
8/10/2017,24.83
8/11/2017,24.73
8/14/2017,25.07
8/15/2017,25.09
8/16/2017,25.04
8/17/2017,24.61
8/18/2017,24.62
8/21/2017,24.55
8/22/2017,24.82
8/23/2017,24.74
8/24/2017,24.74
8/25/2017,24.81
8/28/2017,24.65
8/29/2017,24.57
8/30/2017,24.67
8/31/2017,24.7
9/1/2017,24.77
9/5/2017,24.24
